Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0032735~positive regulation of interleukin-12 production	4	0.7662835249042145	0.0871388722823248	CLEC7A, IL16, CD36, IDO1	471	43	19256	3.8030909001135633	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045494~photoreceptor cell maintenance	4	0.7662835249042145	0.09190192581190094	RP1, PCDH15, USH2A, CLRN1	471	44	19256	3.716657016020073	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0071404~cellular response to low-density lipoprotein particle stimulus	3	0.5747126436781609	0.09206425029158963	CD9, CD36, SOCS5	471	21	19256	5.840461025174402	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043401~steroid hormone mediated signaling pathway	3	0.5747126436781609	0.09206425029158963	GPER1, ESRRG, NR2E1	471	21	19256	5.840461025174402	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0010880~regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	3	0.5747126436781609	0.09206425029158963	GSTM2, DMD, TRDN	471	21	19256	5.840461025174402	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030202~heparin metabolic process	2	0.38314176245210724	0.09412228293333061	EDNRB, HPSE	471	4	19256	20.441613588110403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045213~neurotransmitter receptor metabolic process	2	0.38314176245210724	0.09412228293333061	NRG1, DMD	471	4	19256	20.441613588110403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0031117~positive regulation of microtubule depolymerization	2	0.38314176245210724	0.09412228293333061	STMN2, KATNB1	471	4	19256	20.441613588110403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1904692~positive regulation of type B pancreatic cell proliferation	2	0.38314176245210724	0.09412228293333061	PTPRN, PDX1	471	4	19256	20.441613588110403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043550~regulation of lipid kinase activity	2	0.38314176245210724	0.09412228293333061	RBL2, NRBF2	471	4	19256	20.441613588110403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002291~T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	2	0.38314176245210724	0.09412228293333061	APBB1IP, FGL2	471	4	19256	20.441613588110403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060465~pharynx development	2	0.38314176245210724	0.09412228293333061	EDNRB, CRKL	471	4	19256	20.441613588110403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0099576~regulation of protein catabolic process at postsynapse, modulating synaptic transmission	2	0.38314176245210724	0.09412228293333061	USP8, RNF19A	471	4	19256	20.441613588110403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007204~positive regulation of cytosolic calcium ion concentration	8	1.532567049808429	0.09519993818219326	ADCYAP1, EDNRB, XCR1, GPER1, CD36, FPR2, HTR2A, CMKLR1	471	159	19256	2.0570177195582797	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050728~negative regulation of inflammatory response	7	1.3409961685823755	0.09640394851364717	GHSR, NT5E, LRFN5, SELENOS, GPER1, FPR2, SOCS5	471	129	19256	2.218469691732912	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway	7	1.3409961685823755	0.0991147229040512	ADCYAP1, ADGRG7, CNR1, GPER1, VIP, RXFP2, GPHB5	471	130	19256	2.2014045402580433	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002223~stimulatory C-type lectin receptor signaling pathway	3	0.5747126436781609	0.09969453191590623	CLEC7A, SRC, KLRD1	471	22	19256	5.57498552403011	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051302~regulation of cell division	3	0.5747126436781609	0.09969453191590623	RBL2, MBIP, SGF29	471	22	19256	5.57498552403011	1.0	1.0	1.0
