N1	T1	N2	T2	N3	T3	N4	T4	N5	T5	N6	T6	N7	T7	N8	T8	N9	T9	N10	T10	N11	T11	N12	T12	N13	T13
chr1:81799476	0.636363636363636	0.363636363636364	0.384615384615385	0.142857142857143	0.5625	0.461538461538462	0.4	0	0.705882352941177	0	0.529411764705882	0	0	0.3125	0.433333333333333	0.166666666666667	0.62962962962963	0.5	0.619047619047619	0.533333333333333	0.72	0.375	0.636363636363636	0.214285714285714	0.444444444444444	0.692307692307692
chr1:82986860	0.785714285714286	0	0.846153846153846	0.4375	0	0.454545454545455	0	0	0.631578947368421	0	0.76	0	0	0	0	0.4	0.705882352941177	0.363636363636364	0.733333333333333	0.3125	0.944444444444444	0	0	0	0.933333333333333	0.428571428571429
chr1:82986921	1	0.75	0.384615384615385	0	0.818181818181818	0	0.153846153846154	0	0.714285714285714	0	0.916666666666667	0	0.454545454545455	0.416666666666667	0.4375	0	0.842105263157895	0	0	0.363636363636364	0.823529411764706	0.538461538461538	0.181818181818182	0.363636363636364	0	0.363636363636364
chr1:82986922	0.866666666666667	0	0	0.181818181818182	0	0.538461538461538	0	0	0.764705882352941	0.538461538461538	0.666666666666667	0	0	0	0.5	0.133333333333333	0.764705882352941	0	0.411764705882353	0.0666666666666667	0.764705882352941	0	0.181818181818182	0	0.857142857142857	0.615384615384615
chr1:97095562	0.727272727272727	0.2	0.75	0	0	0	0.91304347826087	0.0625	0	0.0909090909090909	0.533333333333333	0	0.9375	0.388888888888889	0.75	0	0.631578947368421	0.45	0.65	0.153846153846154	0.818181818181818	0.416666666666667	0.555555555555556	0.272727272727273	0	0.625
chr1:97095794	0	0	0.833333333333333	0	0	0	0	0.923076923076923	0.923076923076923	0	1	0	1	0.933333333333333	0.923076923076923	0.8	0	0.5625	1	0	0.823529411764706	0.545454545454545	1	0.714285714285714	1	1
chr1:97095795	1	1	0.846153846153846	0.545454545454545	0.944444444444444	0.764705882352941	0.923076923076923	0	1	0	0.933333333333333	0	0.928571428571429	0.928571428571429	1	0	1	0.6875	0.954545454545455	0	0.888888888888889	0.545454545454545	1	0	1	0.692307692307692
chr1:97095803	0	0	0.538461538461538	0	0	0	0	0.846153846153846	0.692307692307692	0	1	0	1	0.933333333333333	1	0.571428571428571	0.818181818181818	0.5	0.833333333333333	0	0.846153846153846	0.454545454545455	1	0.5	0.875	0.888888888888889
chr1:97095804	1	1	0.666666666666667	0.727272727272727	0.9375	0.8125	0.916666666666667	0	0.944444444444444	0	0.928571428571429	0	0.928571428571429	0.785714285714286	0.866666666666667	0	1	0.666666666666667	0.916666666666667	0	0.777777777777778	0.545454545454545	0.928571428571429	0	0.941176470588235	0.538461538461538
chr1:97941704	0.928571428571429	0.45	0.76	0.333333333333333	0.8	0	0.75	0.333333333333333	0.866666666666667	0.578947368421053	0.75	0.45	0.892857142857143	0.863636363636364	0.84	0.297297297297297	0.833333333333333	0.333333333333333	0.833333333333333	0.3	0.666666666666667	0.586206896551724	0.772727272727273	0.238095238095238	0.88	0.736842105263158
chr1:100537647	0	0.882352941176471	1	0	0.928571428571429	0	1	0.571428571428571	0	0	0.833333333333333	1	0.75	0.863636363636364	0.823529411764706	0.928571428571429	0.863636363636364	0.95	1	0.5625	0.789473684210526	0.5625	1	0.8	0.928571428571429	1
chr1:100537648	0.842105263157895	1	0.9	1	0	0	0.75	0	0.833333333333333	0.833333333333333	0.944444444444444	0	0	0	0.941176470588235	0.941176470588235	0.888888888888889	1	0.909090909090909	0.636363636363636	0.9375	0.6875	0.933333333333333	0.947368421052632	0.9	0.933333333333333
chr1:100537684	1	0.25	0.571428571428571	0.615384615384615	0.933333333333333	0.333333333333333	0.882352941176471	0.5625	0.75	0.5	0.91304347826087	0.611111111111111	0.944444444444444	0.9	0.8125	0.294117647058824	0.75	0.44	0.736842105263158	0.15	0.545454545454545	0.142857142857143	0.785714285714286	0.722222222222222	0.866666666666667	0.523809523809524
chr1:100537685	0.933333333333333	0.285714285714286	0.769230769230769	0	0.909090909090909	0	0	0	0.923076923076923	0	0.823529411764706	0.25	0	0	0.916666666666667	0.3125	0	0.6	0	0	0.888888888888889	0.375	0.818181818181818	0.588235294117647	0.80952380952381	0
chr1:100718962	0	0	0	0	0.909090909090909	0	0.869565217391304	1	1	0	1	1	1	0	1	1	0.944444444444444	0	1	0	0.9375	0.555555555555556	0.928571428571429	0	0.928571428571429	1
chr1:101323240	0.947368421052632	0.294117647058824	1	0.461538461538462	0	0.611111111111111	0.882352941176471	0	0	0	1	0.916666666666667	0.866666666666667	1	0.9	0.428571428571429	0.904761904761905	0.421052631578947	0.956521739130435	0.428571428571429	0.85	0.5	0.875	0.368421052631579	0.904761904761905	0.647058823529412
chr1:101323310	0.666666666666667	0.230769230769231	0.8	0.153846153846154	0	0.333333333333333	0.789473684210526	0	0.833333333333333	0	0.583333333333333	0	0.928571428571429	0.625	0.6875	0.368421052631579	0.8125	0.333333333333333	0.818181818181818	0.538461538461538	0.789473684210526	0.28	0.764705882352941	0.176470588235294	0.764705882352941	0.583333333333333
chr1:101997808	0.545454545454545	0	0	0.692307692307692	0	0	0	0.727272727272727	0.916666666666667	0	0	0	0	0	0.666666666666667	0.384615384615385	0.666666666666667	0	0.545454545454545	0	0.764705882352941	0.538461538461538	0.533333333333333	0.785714285714286	0	0.642857142857143
chr1:107147259	0.823529411764706	0	0.6	0.333333333333333	0	0	0.785714285714286	0.615384615384615	0.722222222222222	0.230769230769231	0.857142857142857	0.0909090909090909	0.9375	0	0.764705882352941	0.454545454545455	0	0.315789473684211	0.8125	0.615384615384615	0.666666666666667	0.333333333333333	0.9	0.636363636363636	0	0.5
chr1:107147291	0.944444444444444	0	0.888888888888889	0.380952380952381	0.875	0	0.785714285714286	0.666666666666667	0.842105263157895	0.230769230769231	0.846153846153846	0.75	1	0	0.866666666666667	0.357142857142857	0.846153846153846	0.285714285714286	0.785714285714286	0.411764705882353	0.55	0.391304347826087	0.818181818181818	0.727272727272727	0	0.642857142857143
chr1:107147336	1	0.521739130434783	0.944444444444444	1	0.714285714285714	0.6875	0.736842105263158	0.909090909090909	0.916666666666667	0.909090909090909	0.928571428571429	1	0.956521739130435	0	0.909090909090909	1	0.833333333333333	0.692307692307692	0.91304347826087	0.75	0.791666666666667	0.714285714285714	0.904761904761905	0.866666666666667	1	0.769230769230769
chr1:107147373	1	0.714285714285714	0.7	0.894736842105263	0.947368421052632	0.642857142857143	0.85	0	0.909090909090909	0	0.933333333333333	0.526315789473684	1	0.692307692307692	0.857142857142857	0.882352941176471	0.944444444444444	0.347826086956522	1	1	0.95	0.5	0.923076923076923	0.933333333333333	0.857142857142857	0.857142857142857
chr1:107147374	1	0.684210526315789	0.888888888888889	0.818181818181818	0.8125	0.894736842105263	0.75	0.666666666666667	0.714285714285714	0	0.75	0.714285714285714	1	0	0.956521739130435	1	0.818181818181818	0.5	0.909090909090909	0.941176470588235	0.666666666666667	0.444444444444444	0.761904761904762	0.923076923076923	1	0.454545454545455
chr1:109667823	0.176470588235294	0	0	0	0	0.545454545454545	0	0.588235294117647	0.0833333333333333	0	0.117647058823529	0	0	0	0	0.705882352941177	0.157894736842105	0	0	0	0.333333333333333	0.416666666666667	0	0.636363636363636	0.0714285714285714	0.0909090909090909
chr1:115033707	0	0	0	0	0	0	0.9375	0.923076923076923	0	0	0.857142857142857	1	1	0	1	0	0	0.363636363636364	0.928571428571429	0	0.952380952380952	0.923076923076923	1	0.916666666666667	1	0
chr1:115033772	0	0	0	0.583333333333333	0	0	0.615384615384615	0.0769230769230769	0.714285714285714	0	0.666666666666667	0.733333333333333	0.684210526315789	0	0.529411764705882	0	0.727272727272727	0	0.714285714285714	0	0.529411764705882	0.6	0	0	0.909090909090909	0.363636363636364
chr1:115033817	0	0	0.416666666666667	0.214285714285714	0	0.363636363636364	0.714285714285714	0.5	0.75	0	0.666666666666667	0.5625	1	0	0.625	0	0.727272727272727	0	0.857142857142857	0.166666666666667	0.555555555555556	0.416666666666667	0	0	0.733333333333333	0
chr1:115033818	0	0	0.461538461538462	0	0.6	0.454545454545455	0	0	0.818181818181818	0	0.583333333333333	0	0.933333333333333	0.25	0.75	0.2	0.583333333333333	0	0.818181818181818	0.181818181818182	0.647058823529412	0.642857142857143	0	0.214285714285714	0	0
chr1:115841765	0.933333333333333	0	0.863636363636364	0.230769230769231	0.8	0	0.818181818181818	0.428571428571429	0.75	0.0833333333333333	0.923076923076923	0.461538461538462	0	0	0	0	0	0.6	0.823529411764706	0.583333333333333	0.666666666666667	0.318181818181818	0.882352941176471	0	0.833333333333333	0.352941176470588
chr1:115841766	0.777777777777778	0.8	0.761904761904762	0.571428571428571	0.588235294117647	0	0.923076923076923	0.5	0.555555555555556	0	0.863636363636364	0.0909090909090909	0.866666666666667	0.583333333333333	0.631578947368421	0.227272727272727	0.818181818181818	0.5	0.84	0.695652173913043	0.75	0.6	0.88	0.375	0.722222222222222	0.625
chr1:115841772	0.857142857142857	0.818181818181818	0.8	0	0.785714285714286	0	0.909090909090909	0.909090909090909	0.909090909090909	0.0833333333333333	0.916666666666667	0.416666666666667	1	0	0	0	0	0.714285714285714	0.944444444444444	0.636363636363636	0.785714285714286	0.333333333333333	0.944444444444444	0	1	0.4375
chr1:115841773	0.944444444444444	0.8	0.85	0.642857142857143	0.823529411764706	0	1	0.923076923076923	0.85	0	1	0.181818181818182	0.933333333333333	0.833333333333333	0.777777777777778	0.285714285714286	0.952380952380952	0.6	0.833333333333333	0.583333333333333	0.846153846153846	0.666666666666667	0.851851851851852	0.352941176470588	1	0.625
chr1:115841914	0.8125	0.65	0.7	0.285714285714286	0.633333333333333	0.4	0.875	0.416666666666667	0.80952380952381	0	0.681818181818182	0.25	0.88	0.769230769230769	0.695652173913043	0.44	0.631578947368421	0.238095238095238	0.458333333333333	0.2	0.333333333333333	0.173913043478261	0.793103448275862	0.0555555555555556	0.538461538461538	0.647058823529412
chr1:115918607	0.791666666666667	0.9375	0	0.608695652173913	0.863636363636364	0.666666666666667	0.952380952380952	0	0.75	0.0909090909090909	0.923076923076923	0.941176470588235	0.833333333333333	0.4	0.904761904761905	0.25	0.68	0.473684210526316	0.862068965517241	0.956521739130435	0.85	0.428571428571429	0.772727272727273	0.307692307692308	0.863636363636364	0.454545454545455
chr1:115918608	0.8	0.769230769230769	0	0.380952380952381	0.916666666666667	0.571428571428571	0	0.272727272727273	0.684210526315789	0.0833333333333333	0.833333333333333	1	0.933333333333333	0.681818181818182	0.863636363636364	0.363636363636364	0.75	0.4	0.857142857142857	0.764705882352941	0.692307692307692	0.625	0.75	0.416666666666667	0.92	0.652173913043478
chr1:115918856	0.733333333333333	0.230769230769231	0.461538461538462	0	0.764705882352941	0.583333333333333	0.681818181818182	0	0	0.0769230769230769	0.619047619047619	0.75	0.888888888888889	0	0.722222222222222	0.541666666666667	0.631578947368421	0.357142857142857	0.636363636363636	0.222222222222222	0.45	0.36	0.4	0.214285714285714	0	0.363636363636364
chr1:115918857	0.411764705882353	0	0	0.166666666666667	0.642857142857143	0	0.615384615384615	0	0.866666666666667	0	0	0	0	0.363636363636364	0.733333333333333	0.409090909090909	0.538461538461538	0.230769230769231	0.916666666666667	0.235294117647059	0.652173913043478	0.25	0.642857142857143	0.181818181818182	0.736842105263158	0.466666666666667
chr1:121117518	0.333333333333333	0.307692307692308	0	0.636363636363636	0	0.705882352941177	0.2	0	0	0.9	0	0	0	0.444444444444444	0.142857142857143	0.181818181818182	0.117647058823529	0.466666666666667	0.208333333333333	0	0	0.666666666666667	0	0	0.307692307692308	0
chr1:121117530	0.416666666666667	0.307692307692308	0	0.454545454545455	0	0.666666666666667	0.2	0	0	0.722222222222222	0	0	0	0.375	0.230769230769231	0.272727272727273	0.117647058823529	0.466666666666667	0.208333333333333	0	0	0.75	0	0	0.307692307692308	0
chr1:145280251	0	0.692307692307692	0.909090909090909	0.363636363636364	0	0.916666666666667	0.909090909090909	0	0.928571428571429	0.642857142857143	0	0	0	0.583333333333333	0.928571428571429	0.230769230769231	0.916666666666667	0	0.923076923076923	0	0	0	0	0	1	0
chr1:152697427	0.571428571428571	0.19047619047619	0.636363636363636	0.210526315789474	0.681818181818182	0.588235294117647	0.5	0.1875	0.428571428571429	0.05	0.590909090909091	0.153846153846154	1	0.470588235294118	0.705882352941177	0	0.625	0.230769230769231	0.423076923076923	0.1875	0.5	0.48	0.666666666666667	0.181818181818182	0.730769230769231	0
chr1:152697510	0.411764705882353	0.277777777777778	0.454545454545455	0.0666666666666667	0.529411764705882	0.263157894736842	0.35	0.0625	0.19047619047619	0	0.318181818181818	0.105263157894737	0.909090909090909	0.333333333333333	0.285714285714286	0.285714285714286	0.266666666666667	0.333333333333333	0.0952380952380952	0.0769230769230769	0.235294117647059	0.391304347826087	0.304347826086957	0.133333333333333	0.363636363636364	0.0909090909090909
chr1:152796232	0	0	0.9375	0	1	0.6	0	0.277777777777778	0.818181818181818	0	0.761904761904762	0.0769230769230769	0.916666666666667	0.538461538461538	0.857142857142857	0	0.882352941176471	0	1	0	0.736842105263158	0.5	0.909090909090909	1	0	0.733333333333333
chr1:152807223	0.692307692307692	0.285714285714286	0	0.272727272727273	0.692307692307692	0.266666666666667	0	0	0.928571428571429	0.0714285714285714	0.545454545454545	0	0	0	0.615384615384615	0	0.615384615384615	0.368421052631579	0.642857142857143	0.25	0.352941176470588	0.105263157894737	0.647058823529412	0	0	0
chr1:155690020	0	0.411764705882353	0.666666666666667	0	0	0.3125	0.538461538461538	0	0	0.166666666666667	0.666666666666667	0	0	0.454545454545455	0	0.181818181818182	0.833333333333333	0.3125	0.692307692307692	0.5	0.769230769230769	0.428571428571429	0	0.285714285714286	0.866666666666667	0.454545454545455
chr1:155690026	0	0.176470588235294	0.428571428571429	0	0	0.111111111111111	0.428571428571429	0	0	0	0.333333333333333	0.272727272727273	0	0.363636363636364	0	0	0.333333333333333	0.235294117647059	0.357142857142857	0.263157894736842	0.5	0.230769230769231	0.384615384615385	0.153846153846154	0.533333333333333	0.272727272727273
chr1:157701388	0.8	0.25	0.739130434782609	0.142857142857143	0.769230769230769	0.36	0.631578947368421	0.285714285714286	0.466666666666667	0.0769230769230769	0.642857142857143	0.19047619047619	0.909090909090909	0	0.68	0.434782608695652	0.882352941176471	0.294117647058824	0.5	0.136363636363636	0.473684210526316	0.407407407407407	0.5	0.176470588235294	0.823529411764706	0.625
chr1:157701597	0	0.583333333333333	0.75	0	0.928571428571429	0.764705882352941	0.733333333333333	0.6	0.8	0	0.823529411764706	0.266666666666667	0.916666666666667	0.916666666666667	0.954545454545455	0.470588235294118	0.846153846153846	0.235294117647059	0.923076923076923	0.153846153846154	0.65	0.733333333333333	0.833333333333333	0.692307692307692	0.875	0.454545454545455
chr1:157820570	0	0.285714285714286	0	0	0	0	0	0	0.388888888888889	0.277777777777778	0	0	0	0.230769230769231	0.583333333333333	0.0833333333333333	0	0.230769230769231	0.727272727272727	0.333333333333333	0.357142857142857	0.375	0.583333333333333	0	0.6	0.4
chr1:158289013	0.555555555555556	0.0714285714285714	0	0	0.538461538461538	0.1875	0.571428571428571	0	0.761904761904762	0.416666666666667	0.523809523809524	0.2	0.818181818181818	0.266666666666667	0.545454545454545	0.454545454545455	0.571428571428571	0.285714285714286	0	0.25	0.4	0.4	0.727272727272727	0	0.733333333333333	0.166666666666667
chr1:158352741	0.782608695652174	0.611111111111111	0.833333333333333	0.333333333333333	0.916666666666667	0.5	0.941176470588235	0.470588235294118	0.933333333333333	0.0714285714285714	0.791666666666667	0.714285714285714	0	0.411764705882353	0.75	0.583333333333333	0.764705882352941	0.476190476190476	1	0	0	0.25	0.928571428571429	0	0	0
chr1:158352742	0.866666666666667	0.5	0.842105263157895	0.692307692307692	1	0.4375	0.769230769230769	0	0.777777777777778	0.0666666666666667	0.666666666666667	0.615384615384615	0.857142857142857	0	0.866666666666667	0.5	0.909090909090909	0.416666666666667	0.785714285714286	0	0.818181818181818	0.3125	0.928571428571429	0.3	0.75	0.571428571428571
chr1:158399530	0.8125	0.5	0.785714285714286	0	0	0	0.733333333333333	0	0.461538461538462	0	0.666666666666667	0.75	0.944444444444444	0.75	0.277777777777778	0	0.65	0.352941176470588	0.235294117647059	0	0.307692307692308	0.181818181818182	0.647058823529412	0.882352941176471	0.818181818181818	0.619047619047619
chr1:158421330	0.857142857142857	0.409090909090909	0.769230769230769	0.181818181818182	0.76	0.304347826086957	0.818181818181818	0.5	0.807692307692308	1	0.84	0.333333333333333	0.857142857142857	0.388888888888889	0.793103448275862	0.5	0.904761904761905	0.444444444444444	0.84	0.375	0.739130434782609	0.405405405405405	0.75	0.434782608695652	0.911764705882353	0.676470588235294
chr1:158421702	0.55	0.384615384615385	0.75	0.117647058823529	0.6875	0.208333333333333	0.5	0.363636363636364	0.611111111111111	0.157894736842105	0.615384615384615	0.0869565217391304	0.48	0.428571428571429	0.44	0.352941176470588	0	0.380952380952381	0.75	0.1	0.434782608695652	0.307692307692308	0.611111111111111	0.15	0.692307692307692	0.416666666666667
chr1:158465167	0.8125	0.409090909090909	0.692307692307692	0.411764705882353	0.615384615384615	0.52	0.684210526315789	0.466666666666667	0.772727272727273	0.380952380952381	0.882352941176471	0.157894736842105	0.916666666666667	0.35	0.764705882352941	0.304347826086957	0.85	0.333333333333333	0.772727272727273	0.1875	0.75	0.4375	0.821428571428571	0.684210526315789	0.75	0.578947368421053
chr1:158465206	0.666666666666667	0.555555555555556	0.8	0.6	0	0.52	0.941176470588235	1	0.8	0.666666666666667	0.833333333333333	0.761904761904762	0	0.210526315789474	0.857142857142857	0.25	0.866666666666667	0.5	0.684210526315789	0.428571428571429	0.705882352941177	0.384615384615385	0.807692307692308	0.684210526315789	0.944444444444444	0.4375
chr1:158479815	0.666666666666667	0	0.857142857142857	0	0.666666666666667	0.4	0.769230769230769	0.0666666666666667	0.947368421052632	0	0.888888888888889	0.705882352941177	1	0.380952380952381	0.714285714285714	0.19047619047619	0.928571428571429	0.4375	0.764705882352941	0	0.888888888888889	0.541666666666667	0.8	0.588235294117647	0.842105263157895	0.75
chr1:158479968	0.8	0.4	0.666666666666667	0.166666666666667	0	0	0.785714285714286	0.235294117647059	0	0.461538461538462	0.833333333333333	0	0	0	0.846153846153846	0.333333333333333	0.733333333333333	0.588235294117647	0.866666666666667	0	0.6	0.375	0.846153846153846	0	0	0.666666666666667
chr1:158563545	1	0	0	0	0.916666666666667	0	0.857142857142857	0	1	0	0	0.611111111111111	0.846153846153846	0	0	0.428571428571429	0	0.416666666666667	0.666666666666667	0	0.727272727272727	0.4375	1	0	0.928571428571429	0
chr1:158563577	0	0	0	0	1	0	0.916666666666667	0	0.8	0	0.818181818181818	0.285714285714286	1	0.272727272727273	1	0.545454545454545	0	0.416666666666667	0.833333333333333	0	0	0.4	0.916666666666667	0	1	0
chr1:158564106	0.708333333333333	0.833333333333333	0.75	0.461538461538462	0.647058823529412	0.346153846153846	0.5	0.526315789473684	0.666666666666667	0.333333333333333	0.642857142857143	0.6	0.722222222222222	0.428571428571429	0.5	0.0555555555555556	0.857142857142857	0.263157894736842	0.785714285714286	0.2	0.45	0.269230769230769	0.705882352941177	0.538461538461538	0	0.230769230769231
chr1:158564209	0.826086956521739	0.3	0.75	0.5	0.75	0.347826086956522	0.533333333333333	0.4	0.777777777777778	0	0.692307692307692	0.391304347826087	0.954545454545455	0.458333333333333	0.842105263157895	0.294117647058824	0.761904761904762	0.423076923076923	0.611111111111111	0.25	0.571428571428571	0.44	0.8125	0.5	0.8	0.6
chr1:158564210	0.692307692307692	0.529411764705882	0	0.538461538461538	0.823529411764706	0.363636363636364	0	0	0.75	0.125	0	0	0.615384615384615	0.272727272727273	0.615384615384615	0	0	0	0.714285714285714	0	0.5	0.307692307692308	0.75	0.833333333333333	0.785714285714286	0
chr1:158564353	0.75	0.142857142857143	0.9	0.818181818181818	0.933333333333333	0.739130434782609	0.941176470588235	1	0.842105263157895	0	0.80952380952381	0.870967741935484	0.944444444444444	0.652173913043478	0.882352941176471	0.263157894736842	0.764705882352941	0.3	0.95	0.363636363636364	0.947368421052632	0.705882352941177	0.666666666666667	0.875	0.85	0.48
chr1:158605636	0.916666666666667	0.4	0	0	0.833333333333333	0.416666666666667	0.916666666666667	0.470588235294118	0.8	0.0833333333333333	0.666666666666667	1	0	0.230769230769231	0	0	0.882352941176471	0	0.666666666666667	0.454545454545455	0.777777777777778	0.375	0	0	0	0.615384615384615
chr1:158686626	0.571428571428571	0.45	0.5625	0.272727272727273	0.6	0.0625	0.583333333333333	0	0.388888888888889	0	0.363636363636364	0.0434782608695652	0.5	0	0.4375	0	0.368421052631579	0.333333333333333	0.571428571428571	0.0714285714285714	0	0.304347826086957	0	0.25	0	0.2
chr1:158686694	0.473684210526316	0.142857142857143	0.454545454545455	0	0.230769230769231	0.0769230769230769	0.307692307692308	0	0.470588235294118	0	0.478260869565217	0	0	0	0.2	0.0833333333333333	0.333333333333333	0.133333333333333	0.222222222222222	0.0714285714285714	0	0.272727272727273	0	0	0	0.153846153846154
chr1:158700971	0	0	0.214285714285714	0	0	0.25	0.4	0.272727272727273	0.545454545454545	0.0588235294117647	0.5	0	0	0.142857142857143	0	0	0.727272727272727	0.333333333333333	0	0	0.285714285714286	0.25	0	0	0.333333333333333	0
chr1:158701086	0.916666666666667	0	0.722222222222222	0	0.571428571428571	0.307692307692308	0.684210526315789	0.461538461538462	0.916666666666667	0.0588235294117647	0.666666666666667	0.636363636363636	1	0.352941176470588	0.5625	0.166666666666667	0.909090909090909	0.533333333333333	0.555555555555556	0.333333333333333	0.846153846153846	0.454545454545455	0.769230769230769	0.470588235294118	0.882352941176471	0
chr1:158701087	0.818181818181818	0.384615384615385	0.882352941176471	0.363636363636364	0.714285714285714	0.0952380952380952	0.84	0.666666666666667	0.842105263157895	0	0.571428571428571	0.75	0.909090909090909	0.538461538461538	0.6875	0.5	0.625	0.466666666666667	0.588235294117647	0.428571428571429	0.714285714285714	0.25	0.916666666666667	0.5	0	0.736842105263158
chr1:158701137	0.928571428571429	0.5	0.944444444444444	0	0.916666666666667	0.357142857142857	0.733333333333333	0.5	0.666666666666667	0.0769230769230769	0	0.642857142857143	1	0.375	0.736842105263158	0.214285714285714	0	0	0.68	0	0.769230769230769	0.6	0.846153846153846	0.571428571428571	0.8125	0.538461538461538
chr1:158701138	0.923076923076923	0.833333333333333	0.705882352941177	0.5625	0.733333333333333	0.25	0.92	0.583333333333333	0.882352941176471	0.142857142857143	0.857142857142857	0.684210526315789	0.956521739130435	0.470588235294118	0.85	0.529411764705882	0.95	0.333333333333333	0.842105263157895	0.478260869565217	0.818181818181818	0.727272727272727	0.789473684210526	0.5625	0.933333333333333	0.555555555555556
chr1:158701146	0.769230769230769	0.882352941176471	0.866666666666667	0.727272727272727	1	0.769230769230769	0.692307692307692	0.727272727272727	0.714285714285714	0.416666666666667	0	0.615384615384615	0.916666666666667	0.4	0.888888888888889	0.133333333333333	0	0.583333333333333	0.884615384615385	0	0.75	0.6	0.909090909090909	0.857142857142857	1	0.615384615384615
