cpg	taxa	a	b	cor	ci
cg17399362	Staphylococcus	EPHX3	TSS200	0.287313346458289	-0.000311428459869778
cg20856834	Acidiplasma	OR12D3	1stExon	0.560338589787977	0.000697904506842884
cg20593611	Tetrasphaera	FIGN	TSS1500	0.398593583893298	5.85398936705627e-05
cg26870192	Staphylococcus	SLC35D3	TSS1500	0.367290638594516	-0.000104587091710167
cg01530981	Lactobacillus	CAMK1G	TSS200	0.237266836768118	5.4682360932736e-05
cg26301690	Pseudomonas	ELAVL4	5'UTR	0.523318987236382	0.000290083448449445
cg26301690	Pseudomonas	ELAVL4	1stExon	0.523318987236382	0.000290083448449445
cg22503354	Lachnoclostridium	PEX5	TSS1500	0.542452474163667	-0.000112068914208255
cg22503354	Lachnoclostridium	PEX5	TSS200	0.542452474163667	-0.000112068914208255
cg05062148	Staphylococcus	TMEM57	TSS1500	0.59680936945443	-0.000123352002120868
cg03419136	Eubacterium	SF1	TSS1500	0.424212292670929	-0.00478898437520459
cg01258200	Planctopirus	SOWAHB	TSS200	0.464027229722942	0.00092777669346014
cg02685990	Prevotella	FAM198B	TSS200	0.512341585815371	1.35907739836095e-06
cg02685990	Prevotella	FAM198B	5'UTR	0.512341585815371	1.35907739836095e-06
cg19037327	Staphylococcus	GJB2	TSS1500	0.495609901930426	-0.000109423918412256
cg24483825	Lachnoclostridium	CASP9	TSS1500	0.38936849801427	-9.51311001382779e-05
cg10987788	Cutibacterium	ELF5	TSS200	0.504796652406872	2.09030087505156e-05
cg27029179	Staphylococcus	CADM1	TSS1500	0.490912140512259	-0.00011506606626022
cg05133340	Dorea	GALNT9	TSS1500	0.520682174636874	-0.000463789605992696
cg16433737	Staphylococcus	GNB3	5'UTR	0.638779467696793	-0.000642870896300299
cg22976979	Cutibacterium	MAP1LC3A	TSS1500	0.994379791873491	0.000174371772800413
cg03749507	Staphylococcus	TAF6L	TSS1500	0.510144770526182	-8.82468869438125e-05
cg11571263	Staphylococcus	RRAGD	5'UTR	0.610709634695599	-4.77456308428613e-05
cg11571263	Staphylococcus	RRAGD	1stExon	0.610709634695599	-4.77456308428613e-05
cg02089745	Cutibacterium	GCNT7	TSS200	0.292849935996298	2.26052212612912e-05
cg12686407	Staphylococcus	PDGFD	TSS1500	0.482738296140772	0.000181323570182739
cg15736360	Lachnoclostridium	KCNMB2	TSS1500	0.314941398062567	9.55244657842405e-05
cg13894301	Tetrasphaera	KLF4	TSS1500	0.492574536248128	5.75916486502562e-05
cg05299278	Prevotella	SLFN14	TSS1500	0.519412088094508	-1.7068918789207e-05
cg27555365	Lachnoclostridium	TMEM102	TSS200	0.247715691305544	-0.000106172819057113
cg18130437	Prevotella	CCDC107	TSS200	0.603782879392359	2.51650930236661e-06
cg18130437	Prevotella	RMRP	TSS200	0.603782879392359	2.51650930236661e-06
cg09902062	Cylindrospermopsis	SPRR4	5'UTR	0.309011341227052	0.00016240541249715
cg23086161	Prevotella	KCNH1	1stExon	0.448409144500874	1.48229564790061e-06
cg22366001	Sutterella	PRKCZ	5'UTR	0.452183607910415	-8.065798830892e-05
cg10703506	Sphaerimonospora	ACACB	TSS1500	0.996224674417207	-0.000743075999445693
cg04820386	Staphylococcus	DBIL5P	TSS200	0.46664092751238	-5.09630153599962e-05
cg04820386	Staphylococcus	GEMIN4	TSS1500	0.46664092751238	-5.09630153599962e-05
cg06293169	Beggiatoa	SRRM2	5'UTR	0.501455305813795	0.00248330901425853
cg06293169	Beggiatoa	LOC100128788	TSS1500	0.501455305813795	0.00248330901425853
cg07036112	Cylindrospermopsis	MIR1225	TSS200	0.43305846540834	0.00043988377523093
cg20006924	Staphylococcus	RORA	TSS1500	0.692641356163295	-0.000323046867514839
cg25498838	Rhizobacter	EMX1	TSS200	0.394738760411452	0.000224027323155294
cg04528371	Staphylococcus	F2R	TSS1500	0.428587763052769	-0.000270591298351115
cg04811098	Lachnoclostridium	INSIG1	TSS1500	0.634014195652265	-0.000242791987571278
cg05252487	Pseudomonas	FAM24A	5'UTR	0.486234198729278	0.000466423527643693
cg24200059	Achromatium	HEXDC	TSS1500	0.493752580371974	0.000618334619344887
cg17423978	Staphylococcus	SIRPD	TSS1500	0.313546280210449	6.45449450187944e-05
cg10172783	Anaerostipes	NAGS	1stExon	0.38503000786864	-0.000175017979592209
cg10172783	Anaerostipes	PYY	TSS200	0.38503000786864	-0.000175017979592209
cg12169852	Eubacterium	PRR11	TSS1500	0.359161000996786	0.000273151515885342
cg19062379	Staphylococcus	VPS4B	1stExon	0.527713945906395	-7.41683525187825e-05
cg19062379	Staphylococcus	VPS4B	5'UTR	0.527713945906395	-7.41683525187825e-05
cg20961943	Staphylococcus	NOVA1	1stExon	0.543342996515729	-0.00022825769442782
cg25309588	Lachnoclostridium	ATP8A1	TSS1500	0.268301002950003	-0.000105468989111521
cg06364293	Rhizobacter	NSMCE1	5'UTR	0.069904281348627	-0.00298371781542425
cg14380111	Staphylococcus	C15orf26	TSS1500	0.558370206432089	-0.000825959867134762
cg22658979	Staphylococcus	MMP13	TSS200	0.546795017472712	5.42281836246003e-05
cg08769189	Campylobacter	RAB27A	5'UTR	0.587090283987642	-0.000535073355342834
cg08769189	Campylobacter	RAB27A	1stExon	0.587090283987642	-0.000535073355342834
cg21334045	Bacteroides	SOX5	5'UTR	0.424567767659332	-0.000494299819210112
cg19523213	Staphylococcus	KCNJ8	TSS1500	0.417882854340997	-4.44829913872517e-05
cg15077343	Catellicoccus	CMSS1	TSS1500	0.325199473213352	-0.000444185899238453
cg00449767	Tetrasphaera	EXOC3L2	TSS200	0.73568592693069	0.000260603863715705
cg11938014	Staphylococcus	SH3RF2	1stExon	0.995695305974814	-6.69177287307364e-05
cg11938014	Staphylococcus	SH3RF2	5'UTR	0.995695305974814	-6.69177287307364e-05
cg12417466	Tetrasphaera	ARPP21	TSS200	0.566846846768938	-0.000517423783440445
cg27517351	Lactobacillus	ZNF681	TSS200	0.996305769902129	0.000307248952669345
cg14335782	Cutibacterium	MAP1LC3A	1stExon	0.991077660531875	0.000306214313204062
cg14335782	Cutibacterium	MAP1LC3A	5'UTR	0.991077660531875	0.000306214313204062
