	pvalue	rho
g__Kocuria|s__kristinae	0.834785888	0.065934066
g__Mucispirillum|s__schaedleri	0.297341476	-0.313186813
g__Dietzia|s__timorensis	0.505254856	-0.203296703
g__Myroides|s__odoratimimus	0.806530367	-0.076923077
g__Pyramidobacter|s__piscolens	0.223986535	-0.362637363
g__Clostridium|s__butyricum	0.188771717	0.39010989
g__Acinetobacter|s__rhizosphaerae	0.669269054	-0.131868132
g__Stenotrophomonas|s__geniculata	0.529184737	0.192307692
g__Paracoccus|s__aminovorans	0.297341476	-0.313186813
g__Lactobacillus|s__acidipiscis	0.393835185	-0.258241758
g__Clostridium|s__citroniae	0.40432821	-0.252747253
g__Pseudoxanthomonas|s__mexicana	0.315390822	0.302197802
g__Lactobacillus|s__mucosae	0.934992303	0.027472527
g__Staphylococcus|s__pettenkoferi	0.669269054	-0.131868132
g__Novosphingobium|s__stygium	0.363261725	-0.274725275
g__Bacteroides|s__eggerthii	0.682631672	0.126373626
g__Snodgrassella|s__alvi	0.578544469	0.17032967
g__Prevotella|s__nigrescens	0.992769769	-0.005494505
g__Lactobacillus|s__zeae	0.324652306	-0.296703297
g__Butyricicoccus|s__pullicaecorum	0.682631672	0.126373626
g__Selenomonas|s__noxia	0.578544469	-0.17032967
g__Rothia|s__mucilaginosa	0.792485539	0.082417582
g__Pseudoxanthomonas|s__kaohsiungensis	0.315390822	-0.302197802
g__Bacteroides|s__coprophilus	0.669269054	-0.131868132
g__Prevotella|s__ruminicola	0.324652306	-0.296703297
g__[Clostridium]|s__difficile	0.324652306	-0.296703297
g__Pseudoalteromonas|s__luteoviolacea	0.529184737	-0.192307692
g__Sphingomonas|s__asaccharolytica	0.62975814	-0.148351648
g__Coprococcus|s__eutactus	0.669269054	-0.131868132
g__Bifidobacterium|s__pseudolongum	0.324652306	-0.296703297
g__Lactobacillus|s__ruminis	0.906202124	0.038461538
g__Treponema|s__socranskii	0.578544469	-0.17032967
g__Sphingomonas|s__azotifigens	0.324652306	-0.296703297
g__Streptomyces|s__mirabilis	0.324652306	-0.296703297
g__Bifidobacterium|s__bifidum	0.324652306	-0.296703297
g__Cellulomonas|s__xylanilytica	0.669269054	-0.131868132
g__Methylotenera|s__mobilis	0.45899199	-0.225274725
g__Kocuria|s__palustris	0.62975814	-0.148351648
g__Cetobacterium|s__somerae	0.906202124	0.038461538
g__Psychrobacter|s__arenosus	0.45899199	-0.225274725
g__Pseudomonas|s__veronii	0.055281021	-0.549450549
g__Reyranella|s__massiliensis	0.616791175	-0.153846154
g__Petrimonas|s__sulfuriphila	0.669269054	-0.131868132
g__Sphingomonas|s__wittichii	0.324652306	-0.296703297
g__Pseudomonas|s__stutzeri	0.247006584	-0.346153846
g__Clostridium|s__colinum	0.169503998	-0.406593407
g__Alistipes|s__indistinctus	0.363261725	0.274725275
g__Ruminococcus|s__albus	0.603931204	-0.159340659
g__Staphylococcus|s__sciuri	0.324652306	-0.296703297
g__Rothia|s__dentocariosa	0.669269054	-0.131868132
g__Flavobacterium|s__succinicans	0.324652306	-0.296703297
g__Neisseria|s__oralis	0.669269054	-0.131868132
g__Pseudomonas|s__viridiflava	0.324652306	-0.296703297
g__Rhodococcus|s__ruber	0.324652306	-0.296703297
g__Arthrobacter|s__agilis	0.324652306	-0.296703297
g__Staphylococcus|s__succinus	0.324652306	-0.296703297
g__Mycobacterium|s__llatzerense	0.324652306	-0.296703297
g__Photobacterium|s__damselae	0.03810697	-0.587912088
g__Nitrosovibrio|s__tenuis	0.324652306	-0.296703297
g__Bacillus|s__muralis	0.669269054	-0.131868132
g__Geobacter|s__lovleyi	0.324652306	-0.296703297
g__Prevotella|s__melaninogenica	0.047339595	-0.565934066
g__Dorea|s__longicatena	0.54134105	-0.186813187
g__Legionella|s__nautarum	0.934992303	0.027472527
g__[Eubacterium]|s__cylindroides	0.324652306	-0.296703297
g__Proteocatella|s__sphenisci	0.288554526	-0.318681319
g__Coprobacillus|s__cateniformis	0.129793416	-0.445054945
g__Helicobacter|s__pylori	0.324652306	-0.296703297
g__Sphingomonas|s__suberifaciens	0.324652306	-0.296703297
g__Clostridium|s__spiroforme	0.324652306	-0.296703297
g__Stenotrophomonas|s__maltophilia	0.669269054	-0.131868132
g__Sulfitobacter|s__litoralis	0.324652306	-0.296703297
g__Selenomonas|s__bovis	0.324652306	-0.296703297
g__Campylobacter|s__rectus	0.324652306	-0.296703297
g__Roseburia|s__inulinivorans	0.324652306	-0.296703297
g__Oxalobacter|s__formigenes	0.603931204	-0.159340659
g__Streptomyces|s__reticuliscabiei	0.324652306	-0.296703297
g__Subdoligranulum|s__variabile	0.324652306	-0.296703297
g__Octadecabacter|s__antarcticus	0.324652306	-0.296703297
g__Agromyces|s__mediolanus	0.324652306	-0.296703297
g__Helicobacter|s__hepaticus	0.324652306	-0.296703297
g__Peredibacter|s__starrii	0.324652306	-0.296703297
g__[Prevotella]|s__tannerae	0.934992303	-0.027472527
g__Atopostipes|s__suicloacalis	0.324652306	-0.296703297
g__Halomonas|s__xinjiangensis	0.105719185	-0.472527473
g__Burkholderia|s__bryophila	0.45899199	-0.225274725
g__Sphingobium|s__yanoikuyae	0.324652306	-0.296703297
g__Acinetobacter|s__venetianus	0.324652306	-0.296703297
g__Paenibacillus|s__barengoltzii	0.669269054	-0.131868132
g__Duganella|s__nigrescens	0.750730306	-0.098901099
g__Castellaniella|s__defragrans	0.324652306	-0.296703297
g__Johnsonella|s__ignava	0.324652306	-0.296703297
g__Rhizobium|s__giardinii	0.324652306	-0.296703297
g__Anaerorhabdus|s__furcosa	0.54134105	0.186813187
g__Candidatus Nitrososphaera|s__SCA1170	0.603931204	-0.159340659
g__Serratia|s__symbiotica	0.324652306	-0.296703297
g__Sorangium|s__cellulosum	0.324652306	-0.296703297
g__Maribacter|s__polysiphoniae	0.324652306	-0.296703297
g__Corynebacterium|s__kroppenstedtii	0.324652306	-0.296703297
g__Novosphingobium|s__capsulatum	0.324652306	-0.296703297
g__Brachymonas|s__denitrificans	0.324652306	-0.296703297
g__Enterococcus|s__cecorum	0.324652306	-0.296703297
g__Geobacillus|s__vulcani	0.324652306	-0.296703297
g__Kerstersia|s__gyiorum	0.324652306	-0.296703297
g__Aeribacillus|s__pallidus	0.324652306	-0.296703297
g__Bacillus|s__koreensis	0.324652306	-0.296703297
g__Clostridium|s__thermopalmarium	0.447771588	-0.230769231
g__Geobacillus|s__thermodenitrificans	0.324652306	-0.296703297
g__Sandaracinobacter|s__sibiricus	0.45899199	-0.225274725
g__Pseudonocardia|s__halophobica	0.324652306	-0.296703297
g__Haloferula|s__harenae	0.324652306	-0.296703297
g__Roseomonas|s__lacus	0.324652306	-0.296703297
g__Variovorax|s__paradoxus	0.324652306	-0.296703297
g__Pelomonas|s__puraquae	0.324652306	-0.296703297
g__Bacillus|s__selenatarsenatis	0.324652306	-0.296703297
g__Sphingomonas|s__echinoides	0.324652306	-0.296703297
g__Atopobium|s__vaginae	0.324652306	-0.296703297
g__Actinobacillus|s__muris	0.750730306	-0.098901099
g__Luteibacter|s__rhizovicinus	0.324652306	-0.296703297
g__Xanthomonas|s__campestris	0.324652306	-0.296703297
g__Staphylococcus|s__lugdunensis	0.070634802	-0.521978022
g__Burkholderia|s__glathei	0.324652306	-0.296703297
g__Virgisporangium|s__ochraceum	0.324652306	-0.296703297
g__Tetragenococcus|s__halophilus	0.669269054	-0.131868132
g__Nitrosomonas|s__communis	0.324652306	-0.296703297
g__Streptococcus|s__infantis	0.324652306	-0.296703297
g__Clostridium|s__methylpentosum	0.216629807	0.368131868
g__Barnesiella|s__intestinihominis	0.603931204	-0.159340659
g__Woodsholea|s__maritima	0.669269054	-0.131868132
g__Olsenella|s__profusa	0.324652306	-0.296703297
g__Neisseria|s__canis	0.324652306	-0.296703297
g__Clostridium|s__bowmanii	0.324652306	-0.296703297
g__Bacillus|s__longiquaesitum	0.324652306	-0.296703297
g__Prevotella|s__nanceiensis	0.669269054	-0.131868132
g__Bacillus|s__coagulans	0.324652306	-0.296703297
g__Candidatus Aquiluna|s__rubra	0.324652306	-0.296703297
g__Caulobacter|s__henricii	0.324652306	-0.296703297
g__Actinomadura|s__vinacea	0.324652306	-0.296703297
g__Inquilinus|s__limosus	0.324652306	-0.296703297
g__Bosea|s__genosp.	0.324652306	-0.296703297
g__Methanobacterium|s__beijingense	0.324652306	-0.296703297
g__Sphingopyxis|s__alaskensis	0.324652306	-0.296703297
g__Nannocystis|s__exedens	0.324652306	-0.296703297
g__Methylobacterium|s__adhaesivum	0.669269054	-0.131868132
g__Rhodococcus|s__fascians	0.324652306	-0.296703297
g__Dongia|s__mobilis	0.324652306	-0.296703297
g__Actinomyces|s__hyovaginalis	0.324652306	-0.296703297
g__Syntrophomonas|s__wolfei	0.324652306	-0.296703297
g__Olsenella|s__uli	0.578544469	-0.17032967
g__Clostridium|s__intestinale	0.324652306	-0.296703297
g__Vermamoeba|s__vermiformis	0.324652306	-0.296703297
g__Sphingosinicella|s__microcystinivorans	0.324652306	-0.296703297
g__Stenotrophomonas|s__retroflexus	0.047339595	-0.565934066
g__Blastococcus|s__saxobsidens	0.669269054	-0.131868132
g__Butyrivibrio|s__crossotus	0.324652306	-0.296703297
g__Gallibacterium|s__genomosp.	0.324652306	-0.296703297
g__Geodermatophilus|s__obscurus	0.324652306	-0.296703297
g__Clostridium|s__paraputrificum	0.324652306	-0.296703297
g__Stella|s__vacuolata	0.324652306	-0.296703297
g__Photobacterium|s__rosenbergii	0.324652306	-0.296703297
g__Eudoraea|s__adriatica	0.324652306	-0.296703297
g__Sphingobacterium|s__multivorum	0.324652306	-0.296703297
g__Cystobacter|s__fuscus	0.324652306	-0.296703297
g__Proteiniborus|s__ethanoligenes	0.324652306	-0.296703297
g__Vibrio|s__cholerae	0.324652306	-0.296703297
g__Bacillus|s__thermoamylovorans	0.324652306	-0.296703297
g__[Clostridium]|s__sordellii	0.324652306	-0.296703297
g__Candidatus Nitrososphaera|s__gargensis	0.324652306	-0.296703297
g__Rudaea|s__cellulosilytica	0.324652306	-0.296703297
g__Lacibacter|s__cauensis	0.324652306	-0.296703297
g__Loktanella|s__salsilacus	0.324652306	-0.296703297
g__Enhydrobacter|s__aerosaccus	0.324652306	-0.296703297
g__Macellibacteroides|s__fermentans	0.324652306	-0.296703297
g__Aquimarina|s__brevivitae	0.324652306	-0.296703297
g__Brevibacillus|s__reuszeri	0.324652306	-0.296703297
g__Thermoanaerobacterium|s__saccharolyticum	0.750730306	-0.098901099
g__Lactobacillus|s__vaginalis	0.750730306	-0.098901099
g__Aeromonas|s__sharmana	0.324652306	-0.296703297
g__Bibersteinia|s__trehalosi	0.324652306	-0.296703297
g__Desulfosporosinus|s__meridiei	0.288554526	-0.318681319
g__Robinsoniella|s__peoriensis	0.324652306	-0.296703297
g__Clostridium|s__ruminantium	0.324652306	-0.296703297
g__Clostridium|s__bartlettii	0.324652306	-0.296703297
g__Moraxella|s__lincolnii	0.324652306	-0.296703297
g__Alistipes|s__finegoldii	0.669269054	-0.131868132
g__Lactobacillus|s__agilis	0.324652306	-0.296703297
g__Fibrobacter|s__succinogenes	0.324652306	-0.296703297
g__Silvimonas|s__terrae	0.324652306	-0.296703297
g__Treponema|s__amylovorum	0.669269054	-0.131868132
g__Mycoplasma|s__microti	0.863235584	0.054945055
g__Dechloromonas|s__fungiphilus	0.324652306	-0.296703297
g__Raphanus|s__sativus	0.353376452	-0.28021978
g__Lysinibacillus|s__boronitolerans	0.324652306	-0.296703297
g__Bdellovibrio|s__bacteriovorus	0.324652306	-0.296703297
g__Desulfovibrio|s__C21_c20	0.324652306	-0.296703297
g__Cardiobacterium|s__valvarum	0.324652306	-0.296703297
g__Ruminofilibacter|s__xylanolyticum	0.324652306	-0.296703297
g__Desulfobacula|s__toluolica	0.324652306	-0.296703297
g__Haloferula|s__helveola	0.324652306	-0.296703297
g__Nitrobacteria|s__hamadaniensis	0.324652306	-0.296703297
g__Desulfovibrio|s__mexicanus	0.324652306	-0.296703297
g__Iodobacter|s__fluviatilis	0.578544469	-0.17032967
g__Halomonas|s__phosphatis	0.324652306	-0.296703297
g__Brevundimonas|s__staleyi	0.324652306	-0.296703297
g__Bifidobacterium|s__breve	0.603931204	-0.159340659
g__Victivallis|s__vadensis	0.992769769	0.005494505
g__Bifidobacterium|s__thermacidophilum	0.603931204	-0.159340659
g__Alcaligenes|s__faecalis	0.324652306	-0.296703297
g__Craurococcus|s__roseus	0.324652306	-0.296703297
g__Lutibacter|s__litoralis	0.324652306	-0.296703297
g__Sphingobacterium|s__faecium	0.353376452	-0.28021978
g__Lentibacillus|s__halodurans	0.324652306	-0.296703297
g__Silanimonas|s__lenta	0.45899199	-0.225274725
g__Serpens|s__flexibilis	0.324652306	-0.296703297
g__Enterococcus|s__casseliflavus	0.324652306	-0.296703297
g__Lactobacillus|s__hamsteri	0.324652306	-0.296703297
g__Panacagrimonas|s__perspica	0.324652306	-0.296703297
g__Thermomonas|s__dokdonensis	0.324652306	-0.296703297
g__Xenorhabdus|s__nematophila	0.324652306	-0.296703297
g__Skermanella|s__xinjiangensis	0.324652306	-0.296703297
g__Desulfobulbus|s__mediterraneus	0.324652306	-0.296703297
g__Sphingobacterium|s__mizutaii	0.324652306	-0.296703297
g__Lactonifactor|s__longoviformis	0.353376452	-0.28021978
g__Desulfovibrio|s__putealis	0.324652306	-0.296703297
g__Ilumatobacter|s__fluminis	0.324652306	-0.296703297
g__Formosa|s__crassostrea	0.324652306	-0.296703297
g__Leptolinea|s__tardivitalis	0.324652306	-0.296703297
g__Paenibacillus|s__chondroitinus	0.40432821	-0.252747253
g__Spirochaeta|s__smaragdinae	0.324652306	-0.296703297
g__Gaiella|s__occulta	0.324652306	-0.296703297
g__Rhodovastum|s__atsumiense	0.353376452	-0.28021978
g__Nitrospira|s__marina	0.324652306	-0.296703297
g__Salinarimonas|s__rosea	0.324652306	-0.296703297
g__Barnesiella|s__viscericola	0.324652306	-0.296703297
g__Candidatus Microthrix|s__parvicella	0.324652306	-0.296703297
g__Methylobacter|s__luteus	0.324652306	-0.296703297
g__Methylobacterium|s__hispanicum	0.324652306	-0.296703297
g__Roseomonas|s__stagni	0.324652306	-0.296703297
g__Mycobacterium|s__vaccae	0.324652306	-0.296703297
g__Trachelomonas|s__volvocinopsis	0.324652306	-0.296703297
g__Deinococcus|s__geothermalis	0.324652306	-0.296703297
g__Clostridium|s__bolteae	0.324652306	-0.296703297
g__Brevibacterium|s__casei	0.324652306	-0.296703297
g__Desulfovibrio|s__alaskensis	0.324652306	-0.296703297
g__Pediococcus|s__cellicola	0.324652306	-0.296703297
