pathway	description	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S5	S51	S52	S53	S54	S55	S6	S7	S8	S9
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	18141.5261	18398.208	35774.3332	38673.5089	17914.1406	34897.4947	23328.5927	31783.8963	24878.0274	33388.6736	26167.9517	26991.9714	21938.1774	21577.7277	41383.248	28604.5067	30438.7828	24504.831000000002	27090.6263	25199.8024	26772.0069	44665.1825	31884.759	34988.5019	36866.0204	24902.8955	21253.8198	21216.3439	37059.1317	21116.0326	26541.5186	30591.1452	25698.0839	27698.5737	26380.1198	25981.1127	32834.5303	31680.0085	28847.9679	19063.2667	19306.1914	22233.5978	30391.449	19756.3113	22834.8855	33278.3665	33176.7631	28568.9832	13009.6513
ARO-PWY	chorismate biosynthesis I	30106.6578	32269.5103	46038.0138	48065.8928	35615.8181	42229.9915	44901.4391	40806.4808	33895.1646	41261.6843	42757.2711	39673.7617	49467.9533	36138.2571	49133.2459	48688.6362	44984.5344	44258.5833	38207.2937	39961.4742	44267.4049	53068.6397	46808.2115	51595.4759	46010.2638	39737.7264	30092.2213	39720.7616	44597.9596	35986.96	38503.9767	40986.9234	40353.6507	47949.6819	37800.7405	42216.5308	49681.9399	39014.4025	48987.6141	37386.2023	32863.2653	37509.3931	43500.5795	31447.6944	40618.0662	47072.0204	47504.4591	42082.0076	23089.5138
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	27244.9269	32956.5407	29704.5486	33541.5079	44522.3161	35948.8576	42082.3212	35176.3278	27566.9811	41127.1737	39937.1298	41758.5936	74493.7712	41314.4512	42140.9717	42408.2002	40399.7002	49714.8083	29854.7936	39022.9536	35105.2924	40334.0411	47982.2045	48252.5657	28539.9207	38950.6239	27815.7033	32102.3689	33988.5786	35039.9119	44129.361	31070.2141	33272.8016	50827.1076	33071.5078	47439.7541	51434.2663	40852.7394	46866.4862	34445.0379	35193.4125	29814.3989	38884.3152	35197.9169	42411.0232	48749.9922	46255.8202	43119.5474	21050.5443
AST-PWY	L-arginine degradation II (AST pathway)	855.2625	1573.2514	10988.3209	5733.065	1478.8683	12896.9698	2563.4331	11018.8998	3102.9164	3523.3082	522.9007	2389.9782	1114.4823	2119.644	1445.3494	2287.0698	352.7645	1417.5745	3599.7854	3551.3913	3747.8224	1082.4782	4392.4855	631.1284	1902.1312	1223.597	1535.098	3385.533	4801.7127	1561.8908	1506.2643	5660.4256	2905.1322	5800.656	9316.3722	2688.9404	585.4397	1093.3411	823.0101	1885.3588	2523.3932	3145.6397	2477.3873	1185.9204	1524.9967	3821.28	1011.0998	3541.4483	537.86
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	17880.7534	23758.8626	34354.2004	24259.0185	29189.4638	43446.2644	33244.2389	35186.0073	18418.1879	37974.3125	22584.4156	37764.8882	21598.2161	32314.9795	18396.2774	23896.1067	19985.6137	51553.6756	26309.3318	31095.2044	23894.9058	17753.7013	37323.7379	33474.2999	25396.9214	30400.5799	21373.784	25669.3637	25160.4708	25030.3405	41086.8018	29262.5634	22931.0416	31321.6507	34412.7974	46516.3009	32222.1251	20235.5122	33400.6663	17474.7894	26339.9739	30428.661	34261.8518	39369.8583	31752.7826	46802.5668	38372.7468	31004.1288	7461.0907
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	29607.5266	27507.3124	41681.8445	43788.0573	41184.5482	49974.7328	45462.1469	45174.5987	33482.5897	45454.0821	44996.5837	42461.4534	64886.378	36635.8536	46574.2246	35709.7621	46445.9145	49772.1815	36523.4711	43161.3575	38606.9408	47417.9506	44026.687000000005	53057.46599999999	52200.3378	42299.0691	29494.3082	35923.1844	44262.7455	35733.6709	44388.8128	39657.9621	33807.3356	51595.0938	38343.6651	50111.0994	49665.9393	44072.2623	50191.9833	28621.9745	37494.8237	33314.8303	42675.221	38916.7751	44812.8315	50113.4737	49786.3801	46666.0002	19398.5111
CALVIN-PWY	Calvin-Benson-Bassham cycle	41382.1174	43009.594000000005	52334.7386	53850.2468	48167.8238	48618.6317	55481.6225	47012.1274	41239.0429	48694.121	50270.2011	50828.8284	69826.6719	49471.0146	54367.9301	63558.2826	58095.6095	59039.6731	46197.1206	48239.6505	53435.8188	59497.4115	57117.3699	59836.6208	51348.6595	48406.8325	38749.1768	47320.7397	49964.3091	48274.9206	49206.1984	49509.0339	50063.9932	57994.6404	47161.5042	55108.1935	67102.7636	47673.1954	60037.0707	48725.9647	46744.4412	46509.2621	55074.6987	41114.5064	51171.8013	57466.3678	57332.6915	50817.7672	27913.1552
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	419.0413	389.0124	2036.1107	2124.9812	341.4399	1601.9566	720.8005	1722.507	923.2302	5235.785	264.9147	679.8089	233.2073	275.0637	561.8057	1635.6729	225.3842	798.7872	1371.2720000000002	837.0645	967.0383	393.5955	6335.8288	582.5843	1968.4256	567.6358	994.3708	1171.5485	7603.7397	335.556	381.1747	1140.7064	1108.4823	997.9402	727.7558	2127.7115	177.75400000000002	214.988	106.6543	560.1879	206.2214	602.9298	1455.5255	746.3433	1787.4649	5817.5287	833.4731	298.406	185.7451
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8462	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.5385	0.0	0.0	0.0	0.0	30.9456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.1538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.8462	34.4615	0.0	0.0	24.6154	12.3077	0.0	11.0769
CENTFERM-PWY	pyruvate fermentation to butanoate	8748.4818	10262.0202	12645.0171	12306.9087	11846.8923	15740.5523	13240.9049	15680.5643	11925.8381	13999.4452	5756.945	13141.9365	10675.163999999999	12089.6667	7448.8966	18573.6165	4707.6317	13015.4881	12439.2429	13311.505	14852.6487	6470.5556	18608.9891	8837.3248	15841.6858	13498.3819	11553.8503	12497.0655	10993.6901	13460.7589	10342.058	14822.7189	15214.7098	16169.9014	14203.8102	16399.0241	8231.2624	7858.6171	9624.3536	10860.2091	11515.281	13712.1422	17756.1928	11488.8777	14961.1801	19154.1647	10453.8187	13222.016000000001	5570.165
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	195.7695	113.1358	325.6941	242.05599999999998	173.6176	143.1652	116.89299999999999	239.3261	5565.7539	2115.0068	24.8923	51.1161	458.9826	104.3747	69.3203	407.1861	52.7952	109.5583	131.9072	93.2933	251.1854	43.964	2833.7424	61.6895	1289.2062	178.1538	314.0295	129.5882	4615.4999	258.6864	279.7661	233.7928	265.3673	238.9036	478.5407	602.4838	164.1458	3911.9385	60.657	149.415	167.1154	150.8852	519.6497	281.3457	0.0	2553.0833	112.70700000000001	351.4028	163.9122
COA-PWY	coenzyme A biosynthesis I	30011.8131	34097.7464	42202.8686	42681.1456	38280.9674	41380.1325	46976.8593	40094.4515	33700.0347	41493.4072	42968.7094	39126.939	56619.5051	37505.0424	52011.4642	52637.9055	47107.9126	47268.4714	38066.8858	40521.886	44792.3313	51512.5073	48458.7945	49189.73	43746.7081	39465.099	31137.9907	40336.8554	42019.0982	36663.8396	39740.4209	39286.8667	41516.6995	47800.9073	36483.7713	45052.5673	47142.0393	36909.695	49644.0189	40158.138999999996	35015.2097	37264.2557	42960.2671	33999.4873	42617.2882	47710.0133	45723.4894	40801.6341	23470.3484
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	21858.1344	26349.3188	21427.4009	27832.4184	30309.5935	30055.9415	29471.6555	26895.9211	19084.4759	26465.8633	33433.2617	27622.7759	47053.3514	26505.6539	45471.0639	26304.3453	45729.4686	38993.3231	20273.2569	27496.4246	23934.0011	48782.2567	33786.5096	41070.7127	26075.8178	29560.4639	20799.7574	20374.8468	24483.9517	28195.2751	27796.5486	22695.5495	23120.5595	31575.7989	25206.4014	34152.7861	43954.8776	20352.6835	36570.3572	25592.4477	28211.4165	22183.0801	30684.0374	29081.0078	31948.4133	33666.8658	37800.0356	31011.2387	12964.2611
CODH-PWY	reductive acetyl coenzyme A pathway	2525.2954	2449.2113	2266.8526	1885.1495	3139.9641	4243.2932	4949.4039	4615.5181	2860.1078	2664.8604	1581.4335	4177.3944	7084.1675	5979.2738	2050.5307	2738.1692	3340.1384	5113.7782	4459.6016	5292.597	7658.4028	1332.1833	3444.7618	2569.3239	4663.1642	2351.5675	3095.0982	6275.4112	2454.8155	2450.2947	2626.1572	2496.3128	3661.5559999999996	4548.4546	1636.8297	2281.9886	4930.8104	2544.3759	1720.5639	1995.6539	1453.2022	1580.2401	1727.5566	1893.6729	2685.7394	3403.5334	2029.8509	7913.4421	1599.4558
COLANSYN-PWY	colanic acid building blocks biosynthesis	18692.9023	18451.9212	19953.7226	18928.7761	25504.4609	27390.3412	33313.5624	24941.3982	23363.464	28551.1502	25196.5541	25458.3543	29128.791	23844.9887	17469.4431	31880.5102	21154.9135	31320.8098	18492.9206	29664.7069	22671.4475	28828.4676	26723.4018	28561.62	26853.4038	26272.6186	16732.053	21625.123	20193.9144	23868.5714	24180.1805	21880.8849	24497.7884	34150.8614	21396.5873	33052.6459	30546.3479	30489.9507	28318.2621	24574.7021	18773.1667	23306.7936	27526.0611	22981.6085	27178.2827	33296.8829	27400.2449	29499.2483	14844.5341
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	31229.7059	33931.1018	47579.3804	49828.0809	37853.8143	45020.4417	46908.4995	43204.1186	35162.3225	43612.399000000005	44976.4921	41662.8891	53036.2455	37585.4005	50706.3729	50159.9831	46875.8046	46508.0591	39617.2789	41993.299000000006	46116.7608	55414.5903	48659.0487	53508.8494	47769.8195	41885.3506	31298.2391	40902.1094	46237.8443	37376.4422	40810.9578	42399.1186	41634.4639	50545.7146	39828.6747	44783.1887	51499.2112	41181.3897	51051.3915	38821.7686	35129.8634	38477.2542	45050.3809	33429.8768	42542.8191	49387.2849	49446.4687	44191.1178	23706.2715
CRNFORCAT-PWY	creatinine degradation I	222.8365	235.3535	988.65	1351.7223	223.0688	1131.7912	369.0826	1309.7726	743.4628	3478.8182	168.3705	553.0067	171.092	147.1347	381.9404	1223.6285	139.1527	554.4088	879.2018	551.8267	727.8418	251.6751	3893.5416	377.8541	1321.8612	335.0948	667.1857	804.814	4551.0313	155.6626	319.1413	662.2092	694.445	508.8054	389.02	1631.4879999999998	124.9821	85.69200000000001	64.1917	378.9388	50.2453	403.1194	1065.1658	283.2759	464.6823	3541.3579999999997	370.4934	180.5501	121.3832
DAPLYSINESYN-PWY	L-lysine biosynthesis I	22375.7972	26620.3728	38185.4144	39956.3819	21665.7123	44302.0137	33479.2249	40754.7423	22989.0058	30991.5355	29261.0952	29267.6222	30293.5593	24645.0097	46987.2648	37346.3134	35196.6059	28372.1312	30854.0657	25647.4068	30143.0468	42393.4494	41089.9094	38024.8075	37822.6143	29656.4967	23074.1059	30637.5011	36801.2741	25634.7422	27288.9661	32424.3616	29985.492000000002	32024.3353	29807.2878	27454.8768	37848.8396	19675.0976	32679.2158	22424.2718	23788.2415	27148.9602	33648.2065	22295.2412	27182.9103	35041.5703	35975.7563	28755.0821	15773.3144
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	190.6808	136.827	173.2467	243.05	154.6541	282.1093	102.0066	372.1106	257.5596	312.6339	75.0596	98.9941	39.5028	67.0282	171.2055	499.9778	412.8012	259.8338	817.7192	659.9760000000001	1277.325	37.6696	570.5509	147.8689	1955.8964	255.8149	451.9855	270.6737	663.9503	277.3893	144.3587	279.2189	205.5121	261.1993	359.7924	568.7481	40.9412	173.3131	108.9619	153.8917	108.1967	79.2203	476.3206	348.7519	956.6639	402.7911	161.259	83.9399	242.4521
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	27257.5091	29314.6695	44490.4066	39317.0363	40544.1365	41729.5371	48308.2251	40378.7477	32097.9766	43089.5226	42331.6232	39303.0731	61489.5144	35513.2745	37607.9062	38913.9895	25769.1871	48758.4567	38145.8222	42569.1131	42020.9402	45714.1009	47901.0229	45916.6981	42717.5288	41844.5956	28612.516	40178.8853	42035.1775	34530.6499	41198.8861	40730.1369	35888.3236	51596.8647	36615.7217	49105.4435	44116.0917	37590.2803	46539.7527	29186.162	28094.2065	40152.9755	42379.1801	36594.4781	42197.8258	50206.0838	44293.2305	42748.981	21762.0723
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	66.6856	54.0963	222.6054	170.0254	83.8055	219.1618	113.999	279.8477	165.3525	137.4988	62.3167	70.2442	62.1361	57.0695	72.6832	141.7995	29.9745	84.9157	146.8524	125.5752	120.1356	0.0	34.445	36.2551	461.7684	3.7343	50.3505	75.2593	100.929	116.979	72.0911	150.5016	211.1354	192.1845	122.7561	67.6355	57.5164	28.7884	14.5501	106.334	64.0741	93.1598	66.6239	580.0345	781.5916	46.5495	146.0445	29.4939	74.6783
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	29153.4625	36935.3724	29891.0456	34617.4327	40485.7821	34162.1836	40531.9015	31667.1844	28754.8672	40008.3721	44826.8112	43727.7038	62448.7656	41127.4239	49116.1128	46232.8876	46490.1442	50096.2487	28463.4295	41718.6602	37146.2627	50751.6524	44114.301	46828.5577	39177.6523	38428.8604	28975.6088	27253.6606	31289.8342	36862.9844	46929.564000000006	31755.2959	35886.4072	44168.9274	32909.5369	43835.4279	52355.8339	37700.884	52013.5176	33398.8213	39729.7285	33913.1146	42560.2854	37421.8347	46358.1871	42870.1373	44266.1791	44721.6334	21501.7248
ECASYN-PWY	enterobacterial common antigen biosynthesis	1143.2209	1555.2136	4128.4752	1953.2866	3655.9825	980.1339	2760.2206	1687.1777	1943.8325	619.5967	333.0399	2262.0226	2070.3360000000002	2822.1372	1181.2751	970.2446	515.0103	1087.7853	1969.6144	3716.9240000000004	1945.0955	725.4177	1269.7028	577.6731	1540.3577	7113.63	1707.7722	4050.0863	1200.5944	2294.4651	1084.8405	3151.2727	1657.2774	3618.6495	7763.1695	1667.2926	638.3921	1566.281	1438.6684	1109.9304	3710.9053	4690.8472	1521.4377	1029.9160000000002	783.5173	974.7246	529.2414	5287.1324	547.1082
ENTBACSYN-PWY	enterobactin biosynthesis	2145.7909	3906.7748	9793.7703	5862.5164	4196.0187	6789.9251	6551.0286	6935.2951	5069.3585	3625.5436	1301.9316	5041.3038	3074.1753	6142.8825	3101.152	3774.8882	1072.988	3006.5648	5163.9391	7175.164000000001	4723.7224	2115.2055	5293.4129	1586.0318	7509.4839	3596.2608	4455.8843	8143.6371	5554.9502	4393.3753	2771.0333	7479.3454	4631.9556	6866.8642	14655.6645	4889.8705	1784.9881	3582.3518	1662.1996	3099.6061	7896.5393	7091.1968	4536.5449	2520.4792	3850.137	3733.6218	2011.8123	9417.6208	1470.2295
FAO-PWY	fatty acid &beta;-oxidation I	5247.97	6591.5719	30873.397999999997	20704.7268	8362.5588	37630.1683	9753.5327	32496.1099	13917.436000000002	17143.8686	3168.3983	9394.1752	6438.5091	7446.5247	6397.9934	12962.7528	2305.0187	7612.8436	14065.575	12470.106000000002	13438.0402	4585.485	21512.9396	4581.8819	28304.9106	15455.826000000001	8800.4749	12919.0863	24903.055	8910.2172	7397.5527	19806.6217	12682.051000000001	20175.5845	26071.4459	15445.4207	4836.8395	7077.4425	5604.0202	7269.8584	9269.3405	13911.438	14104.5194	7037.1391	9537.6771	18745.3852	6136.016	11256.3531	3742.0649
FASYN-ELONG-PWY	fatty acid elongation -- saturated	28327.1925	27817.7013	49450.5939	38513.2432	45892.8395	62409.3729	50253.941	52970.3535	34448.9745	48007.0117	41381.5433	45841.9129	68040.6911	37584.8826	21024.8449	49355.2721	30007.3577	65540.7153	36230.4326	46367.1317	33575.8889	19510.9482	47986.2217	44541.6384	47279.0129	46184.5199	28960.009	40331.5329	42122.0374	36043.0999	48670.894	40499.0718	39789.508	56408.9533	42092.8534	61484.2276	44620.2871	44336.8979	51132.0601	34082.9873	27688.5037	43975.2869	44644.1106	48983.867	47172.3999	59612.4691	51737.9893	47378.3472	16224.4812
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	18113.5781	17874.7583	40398.627	30208.7991	25371.8222	52630.0685	37611.6106	45788.1076	20097.5396	36393.1622	20621.8815	36236.7913	16805.5815	29101.7838	13637.0881	20580.9548	23364.1615	51841.8713	29280.2701	30289.4356	27162.2541	10549.2815	33193.4593	31123.3983	27425.4708	28176.9447	20141.0222	33811.4625	27662.2652	22279.0426	38500.8106	32543.8798	23283.5504	33326.9392	36038.2021	48868.6609	27861.0235	19539.1297	29822.2394	27913.9165	19761.5412	34194.3657	32878.6189	37875.5171	28193.7105	47518.0338	39977.7595	29910.9671	8603.779
FERMENTATION-PWY	mixed acid fermentation	23072.8872	21273.1473	39233.1206	33303.4097	24190.9831	31373.0832	35303.8822	28772.5112	29718.4549	34754.1564	30347.2068	30051.4868	27893.1353	29806.5319	33563.8988	34716.0035	31844.9779	31150.621	31823.9785	31484.4466	33284.1075	28989.7751	32513.3512	38493.2255	32112.2409	32795.8875	25244.2945	29141.6353	34823.0071	26971.7817	33386.4134	35672.1492	30904.5369	35937.8447	34860.2924	29527.0106	38411.902	37754.7199	39450.6442	27247.8325	24357.2952	31797.0902	32992.663	20443.7248	28260.471	33928.3762	36437.4628	34468.4326	16462.9049
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	27616.4617	31001.0556	41267.9367	37784.0807	39009.4727	43617.7672	45395.9932	40672.5244	30996.3111	42825.5172	40636.8727	39469.326	57407.5993	37771.8703	34914.4262	46276.5783	44169.7731	46982.4432	35400.7509	39998.7595	41011.4513	32786.9761	46982.7243	43644.2672	38946.8755	39112.7383	28601.7001	37051.1724	40006.8061	34643.7707	41144.0399	37410.8279	37466.4042	48190.6765	37732.9289	46245.5286	42506.0102	32661.9173	48318.1949	35752.7636	34950.0642	35113.2572	40812.2056	35161.606	43047.5678	47913.3559	42684.0016	40120.7908	20802.6462
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	9143.2303	6293.1138	7925.3487	6022.3773	9696.2814	5943.5358	8385.1874	5532.5891	4708.9377	4774.1263	9460.109	11956.3083	10953.6842	12093.5739	5223.9064	4867.3303	3172.4051	7447.2864	8119.9321	10618.6318	6751.6177	4390.0772	5161.1511	11377.7416	5600.2133	8566.7401	6515.5765	6480.9786	4659.8832	8651.3068	6623.7	8625.3996	5408.0606	7679.366999999999	10305.3424	7524.0873	14222.5489	5672.8904	12405.7055	4528.2603	7621.4752	8426.056999999999	8351.2209	7387.4674	7067.5672	6681.8468	12310.9868	13447.6577	3256.5687
FUCCAT-PWY	fucose degradation	7389.3781	4436.7649	5583.0568	4494.3684	6347.2218	3765.4943	5610.7403	3999.4320000000002	3648.3971	3407.8171	6460.8584	7403.0878	8349.0778	7948.182	26147.7227	3857.6605	2154.2731	3966.0401	7113.4219	7448.8684	5589.8576	15747.1822	4383.1415	7376.9036	4900.9413	5582.4136	4667.5886	5201.9379	4275.6531	6215.4546	3564.8520000000003	6095.7006	3754.5389	5066.3148	7430.9086	4356.6327	11680.6032	3929.7659999999996	8210.2568	2941.2169	5526.4876	5289.5017	5385.3727	4041.845	4229.2203	4250.2949	8165.2894	10111.5198	2287.933
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	10265.1309	7389.0068	13858.0644	10852.5878	13441.4662	7723.8116	12015.7614	8267.3271	7393.8165	6524.5488	7329.795999999999	12858.7634	11245.0509	12319.6414	5478.3244	6827.3362	5926.3425	11354.7959	10993.0916	12482.8735	10834.2702	4706.1037	7382.8392	12501.2573	10768.0576	16214.9199	8586.626	10916.0994	7432.7513	12478.1749	8909.2307	14946.896999999999	8365.4647	14769.1234	16294.6352	12069.5248	14779.5974	7203.465	12462.7856	7772.1733	10955.2465	19085.1155	12726.8304	12900.1338	9264.1738	9333.4822	12664.6763	15399.3072	5387.3712
GALACTARDEG-PWY	D-galactarate degradation I	1862.7993	1204.2684	2489.1271	1679.8986	2650.6487	1194.8492	2295.0170000000003	1764.2371	1601.8108	1232.0678	638.6338	1925.6477	2407.5483	2271.9023	937.8573	1285.4849	564.7469	1325.5764	1725.6161	3097.6506	1456.2197	624.741	1766.2836	891.8935	3459.4733	1932.9415	1610.8724	2987.7084	1919.604	2181.8776	931.436	2302.4075	1457.4191	2394.7953	6010.9818	1926.285	2334.7599	1415.033	804.0765	893.293	2920.0299	2375.192	1932.8615	1685.0983	1188.7408	1566.8936	928.6506	5248.5092	476.1745
