Pathway	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S4	S5	S6	S7	S8	S9
AST-PWY: L-arginine degradation II (AST pathway)	179.811	0	0	0	0	57.5638	16.2773	81.5388	1334.85	680.907	56.6432	239.619	37.439	536.355	0	839.902	360.588	92.9489	166.231	333.263	207.003	161.268	24.8901	948.894	877.286	28.1642	0	767.024	71.1479	169.044	76.2509	21.731	136.971	400.751	30.4561	2242.89
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	3611.93	2019.25	4087.4	2693.96	4076.54	1604.74	1918.7	3008.09	4533.94	5487.6	3844.01	4793.57	1576.51	2847.35	589.068	4434.03	3977.91	3861.12	3505.58	4164.56	4558.87	3321.97	4106.25	4733.41	3483.21	3158.58	734.857	3440.01	3525.21	3441.83	2821.86	553.675	1584.39	4049.24	1710.57	4216.22
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	8283.08	7893.33	8541.52	9601.16	6720.47	13552.6	10278.8	5617.65	6413.08	5504.8	8797.57	6718.13	10172	12023.2	12796.5	8834.71	7178.78	10173.6	7989.18	5818.31	7709.92	7785.45	8150.3	6773.78	6676.91	8928.26	14181.5	8796.56	8428.51	6906.62	4900.19	8689.73	8625.29	7120.7	8730.54	5492.63
CALVIN-PWY: Calvin-Benson-Bassham cycle	6727.67	5972.25	5540.87	6044.01	7660.59	8011.6	6086.76	7309.12	6082.07	6891.34	7383.18	6838.98	8343.19	8784.14	7427.75	6193.95	7021.83	7435.21	6545.64	6643.66	5956.19	7299.48	5066.21	6639.25	6840.42	5550.46	7659.21	8336.66	6992.93	8707.75	8200.46	7624.34	8317.73	7122.58	8681.01	8015.89
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	294.634	60.5892	0	29.2502	0	183.847	0	0	207.457	0	101.063	0	7.70869	107.877	7.44394	0	57.5693	0	10.2936	166.211	0	0	26.669	0	85.8021	119.724	0	901.335
CENTFERM-PWY: pyruvate fermentation to butanoate	107.384	482.734	476.203	762.756	268.276	353.687	376.454	213.415	12.5215	19.6558	169.163	309.74	233.865	157.19	99.0588	46.5825	591.826	283.741	562.278	399.644	406.751	520.702	78.1591	446.897	292.063	604.974	254.958	343.918	146.936	516.675	294.991	916.523	437.617	427.449	688.416	119.075
CITRULBIO-PWY: L-citrulline biosynthesis	4880.75	4090.3	4222.4	3199.97	5554.2	1843.9	3040.01	5694.66	3016.99	3830.79	3125.58	1919.65	2392.25	1731.17	1917.96	2914.85	3222.62	5447.32	4755.05	4803.29	4996.45	4116.84	4625.24	2772.86	1548.86	5173.02	1795.93	1996.59	3282.02	5126.96	5785.26	1249.1	4038.11	3666.42	1910.72	1526.76
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	9568.56	12845.5	10352.2	11672.4	11353.7	10394.3	10241.5	10025.9	4101.34	6653.07	9515.95	8571.79	10055	11261.5	15198.1	7807.9	9401.41	12054.7	11510.3	9221.03	9631.28	11686.6	11023	5291.99	8728.1	10335.5	14111.9	8124.19	8545.15	8947.85	10506.3	9966.68	10573.8	9060.17	11752.3	5781.42
COA-PWY: coenzyme A biosynthesis I	9012.57	12324.8	9424.46	10666.2	10860.7	7817.97	9621.32	9472.41	4311.63	6879.72	8569.49	8305.85	8984.19	11382.9	15275.2	8342.88	8493.32	10285.2	9794.79	8335.15	8229.94	9733.02	10060.9	5344.31	8435.95	9354.67	14297.9	8261.83	7745.87	8162.16	9613.95	8977.54	8944.44	8298.24	10705.4	5004.77
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	3501.36	3001.17	4423.09	3505.07	2220.85	1578.95	5637.54	3203.81	3294.1	4278.42	3034.34	2978.8	2991.14	2454.51	676.568	1713.27	2314.39	1350.89	2813.95	6135.79	1837.5	3341.38	3393.03	3486.49	3501.96	3352.19	1083.2	3104.33	3306.99	3161.96	4299.57	5514.33	4655.9	4128.55	2777.85	3136.54
COLANSYN-PWY: colanic acid building blocks biosynthesis	1868.31	1764.03	2813.42	2487.44	2447.45	1644.93	1480.44	2151.88	2870.86	2946.12	1776.65	1423.64	1236.66	1886.67	867.818	2322.49	2482.25	1581.98	2613.76	2960.08	2219.93	2499.91	2142.75	2526.75	2057.3	2197.29	1058.99	2257.56	2346.73	2015.58	3086.9	2832.75	2978.12	3041.53	2604.58	1638.3
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	7369.77	9539.01	8261.37	9072.22	8513.41	7445.31	6913.67	7952.31	4498.61	6531.93	6737.44	6790.67	7541.43	8917.26	9384.79	6636.31	7436.12	8136.62	8935.25	8002.62	7634.23	9372.2	7424.84	5328.72	7383.26	8181.92	10109.3	7417.97	7059.62	8191.13	9148.93	8825.94	9219.44	8413.34	10339.9	6753.73
CRNFORCAT-PWY: creatinine degradation I	0	0	0	0	0	0	0	0	104.131	0	0	28.5906	0	0	0	0	0	0	28.6437	0	0	16.2257	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0047
DAPLYSINESYN-PWY: L-lysine biosynthesis I	1599.43	1154.11	357.556	464.78	270.749	268.295	224.494	1771.74	3891.01	2805.19	608.416	1199.77	581.832	1881.39	361.21	3372.23	1645.79	661.246	1966.93	1741.61	1670.87	2056.63	623.006	3566.86	3181.92	561.806	226.69	2651.25	913.828	1106.6	783.79	1768.89	840.26	1989	1517.86	3538.48
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.47327	0	0	0	0	0	0	50.1319	10.0698	0	20.7267	12.196	0	0	0	9.87617	0	0	0	0	73.4968
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	7089.01	7028.23	6936.01	6959.9	8073.81	5649.41	6053.08	7720.71	4385.11	6131.2	5774.61	4581.17	6393.94	4256.88	5720.34	4723.88	7058.43	6850.44	5680.75	6481.78	6406.35	5325.84	6959.44	4707.57	6209.69	7353.83	5638.14	4724.3	6381.15	6917.93	7007.39	7750.65	6091.14	6204.1	4672.6	4669.32
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	12460.9	14773.7	16262.3	15105.9	16493.5	18829.3	16229	17708.8	3945.34	7622.69	20211.6	16362.1	25131	24411.8	21255	12257.1	10760.6	14143.9	13962.1	11366.1	11398.8	13517.5	11437	8046.73	9978.61	20863	22945	13364.5	17864	14031.8	12109.3	18528.6	13507.1	10104.2	12620.4	4094.5
ECASYN-PWY: enterobacterial common antigen biosynthesis	116.776	0	0	0	0	0	14.4077	81.1087	1357.07	377.69	50.167	311.445	207.208	406.777	0	266.005	635.541	63.3071	107.626	250.614	249.179	84.3451	9.72888	602.897	217.16	0	0	514.992	114.159	165.066	115.8	19.6198	186.746	427.923	87.2815	1067.14
ENTBACSYN-PWY: enterobactin biosynthesis	1012.52	0	0	0	0	279.537	118.898	471.608	3037.98	1435.7	264.728	630.646	394.702	979.857	0	1484.09	1747.41	791.542	0	1698.87	978.979	552.908	51.3766	2195.82	1214.99	244.49	0	1683.34	512.337	471.164	427.931	192.669	554.874	945.364	161.703	2998.14
FAO-PWY: fatty acid &beta;-oxidation I	1506.95	195.701	111.657	137.253	77.7301	482.176	275.8	1427.73	4274.75	2680.14	772.153	1333.21	572.692	1971.85	100.928	2942.06	1635.95	792.993	622.756	2500.45	1713.46	796.112	208.336	3864.52	3152.14	638.99	138.779	2832.6	1329.56	1224.47	864.295	835.114	930.115	1516.67	454.982	2585
FASYN-ELONG-PWY: fatty acid elongation -- saturated	3418.87	1775.91	3402.17	2572.04	3854.87	1576.03	1711.31	2793.81	5736.42	5776.62	3593.54	4569.37	1400.15	3632.94	564.578	4844.77	4397.02	3571.99	3556.03	4265.76	4476.35	3365.06	3817.49	5459.38	4942.59	2908.92	753.197	4468.84	3309.68	3283.44	2669.93	484.567	1457.34	4342.25	1604.59	4617.4
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	2692.23	1227.2	2557.23	1818.76	2947.32	1077.77	1160.71	2149.12	4583.4	5465.06	2741.51	3985.88	940.586	2840.74	360.943	4333.69	3619.53	2570.88	2725.15	3581.39	3750.23	2586.63	2961.16	5512.62	3884.17	2123.58	492.215	3911.77	2518.59	2526.83	1992.41	313.271	1005.68	4002.46	1092.03	4828.43
FERMENTATION-PWY: mixed acid fermentation	689.483	399.538	114.651	237.017	108.362	317.6	203.113	1172.28	4039.98	2405.4	456.721	1335.87	450.857	2009	319.663	2314.96	1636.09	666.625	1157.11	1567.72	1286.83	1328.92	687.151	3303.93	2348.4	391.271	416.512	2626.81	738.805	471.968	383.623	1076.6	682.925	1442.73	608.593	3560.32
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	185.347	556.667	284.964	0	77.7314	180.672	32.377	244.895	1292.83	815.021	250.246	862.154	579.308	674.696	838.771	515.812	306.669	532.933	669.097	390.661	423.979	690.66	888.216	2336.83	632.712	1387.93	497.353	1098.49	346.98	448.668	1349.41	178.521	118.799	695.169	318.717	516.062
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	1038.41	655.082	2063.88	1216.88	528.734	879.189	1190.89	842.308	2330.46	2746.48	1259.16	1735.74	284.154	2244.77	246.691	2032.38	1399.07	1281.92	775.053	1656.87	1159.96	843.13	1153.16	1989.21	1030.87	1113.32	289.514	2406.39	1406.52	2457.37	1027.92	531.226	1666.94	1886.45	915.659	2295.91
FUCCAT-PWY: fucose degradation	543.304	344.513	1204.16	673.333	257.755	679.433	589.693	484.414	2123.49	2273.18	651.876	991.267	647.383	1514.03	121.702	1288.9	816.071	828.189	411.472	1186.5	675.466	455.164	651.901	1526.75	701.883	568.244	141.267	1891.42	750.29	1565.7	558.223	988.456	1105.97	1254.17	869.102	1834.56
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	1413.03	1693.11	1513.37	2091.49	730.692	982.893	1181.82	1365.2	2393.18	1309.8	1663.85	1128.29	1563.82	1416.83	457.349	1558.24	1085.41	1480.52	1083.26	3141.93	1561.55	1358.06	1374.51	2000.29	1504.84	2303.17	624.201	1711.48	1716.45	1475.54	1795.32	2514.76	3089.89	1177.14	2378.69	677.981
GALACTARDEG-PWY: D-galactarate degradation I	573.344	110.994	195.873	110.718	76.2441	258.187	211.29	641.516	4265.21	1917	686.308	829.954	538.895	761.525	59.6334	1930.97	877.484	620.982	216.848	1266.43	889.626	207.506	148.061	2755.44	435.436	381.506	27.7693	1908.61	786.641	582.123	233.428	268.889	581.847	648.287	233.653	1765.31
GALACTUROCAT-PWY: D-galacturonate degradation I	1384.68	1377.63	1022.64	1635.06	914.649	692.343	729.269	1498.2	1924.51	920.905	1294.51	1428.28	1204.46	1124.22	745.547	1145.5	1033.15	1601.61	1367.38	2901.51	1773.69	1394.01	1075.73	2515.44	1300	1914.9	944.14	1437.06	1282.86	1151.27	1445.03	1956.37	3017.75	813.798	2665.06	975.488
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	1588.63	1321.3	1388.66	1681.05	1072.32	830.496	2069.72	1503.94	3388.18	1985.09	1785.9	1550.79	2171.26	1231.34	882.951	2153.4	1236.27	1056.24	1254.41	1920.32	1541.26	1517.18	1220.2	3088.27	1730.07	1605.41	1114.88	1939.93	2354.75	5221.28	1934.96	2490.17	2426.83	2266.46	1510.84	2973.1
GLUCARDEG-PWY: D-glucarate degradation I	382.054	100.368	20.978	54.7831	47.8357	174.153	61.5272	224.09	2712.43	1196.44	407.248	499.233	388.392	630.944	13.502	1363.16	600.725	441.517	167.492	730.324	508.333	161.914	59.9955	1733.16	358.766	308.532	24.8716	1278.88	544.232	403.792	176.917	244.821	523.818	522.126	130.381	1557.88
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	573.344	110.994	195.873	110.718	76.2441	258.187	211.29	641.516	4265.21	1917	686.308	829.954	538.895	761.525	59.6334	1930.97	877.484	620.982	216.848	1266.43	889.626	207.506	148.061	2755.44	435.436	381.506	27.7693	1908.61	786.641	582.123	233.428	268.889	581.847	648.287	233.653	1765.31
GLUCONEO-PWY: gluconeogenesis I	4059.41	1981.45	2928.93	2784.18	2505.96	2947.51	4352.23	4483.53	4079.86	3683.92	5991.33	4165.24	6990.65	4685.02	2303.35	4759.65	4353.54	3152.37	4256.67	3901.15	2788.5	4200.15	3281.13	4067.81	3611.73	3465.69	2333.29	5058.51	5714.04	4411.79	3608.6	6056.86	4735.44	2779	3162.46	4083.85
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	720.886	169.534	103.278	12.9244	6.1425	306.813	82.3988	260.432	3012.64	1832.86	259.039	903.622	259.974	1141.5	61.4378	1637.89	1066.6	338.777	423.069	874.098	695.837	449.787	328.63	2383.78	1647.99	200.068	44.5154	1569.9	478.402	563.734	235.486	206.207	891.756	660.269	169.767	2566.45
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	1185.08	1630.45	2082.86	2237.18	1033.32	1364.81	2417.4	1179.22	2200.56	1002.93	1875.37	929.391	2062.45	1253.64	386.812	1241.86	1151.64	1636.75	1544.37	2999.09	1384.76	1560.39	1599.68	1618.77	1737.64	2246.23	535.291	1474.83	2151.28	1874.89	2139.63	3439.54	3442.57	1985.07	2979.5	511.502
GLUDEG-I-PWY: GABA shunt	1225.66	0	7.46487	6.06929	128.248	238.916	32.8721	261.157	1417.25	2301.33	318.358	990.384	220.211	1420.63	79.6933	2033.52	911.134	457.852	425.684	1156.08	840.54	425.378	132.932	2410.08	731.418	149.179	79.4481	1383.62	596.556	1048.96	385.833	149.328	505.028	1130.72	908.621	697.772
GLUTORN-PWY: L-ornithine biosynthesis	3841.45	4050.81	3913	5408.59	4132.47	6144.78	3173.62	4121.39	4564.6	4515.99	2790.45	2912.46	2856.56	3700.18	3059.88	3248.45	5581.37	2853.16	5256.23	5308.8	3549.77	6161.77	2319.54	4083.18	6390.38	3602.42	4387.63	4993.21	3058.51	4856.34	7095.64	5617.35	6967.86	6520.19	7628.1	5888.62
GLYCOCAT-PWY: glycogen degradation I (bacterial)	279.502	332.381	204.642	25.8158	12.2795	586.725	107.474	507.307	3556.18	1623.33	144.487	691.111	462.307	1216.79	234.364	2189.31	1509.52	265.07	816.5	976.79	627.518	868.228	496.194	2243.55	2671.39	310.869	150.981	1535.28	388.996	378.82	462.634	403.151	1659.33	1248.35	335.465	3548.41
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	2653.99	3255.81	3727.62	3513.3	2378.92	2957.17	4077.29	3609.34	3146.39	3731.41	3356.54	1996.64	3606.82	2773.2	1604.93	2362.01	2422.86	1572.43	3389.78	2828.45	2322.71	3916.23	1900.4	2892.25	3199.94	4341.75	2219.16	3857.13	3864.01	6310.71	4350.76	6753.09	3012.19	5142.64	5155.56	5126.12
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	13.1131	0	0	23.5862	13.3873	147.792	7.63983	45.5764	547.142	173.502	22.641	78.5949	28.0219	202.899	0	145.374	116.926	14.7738	31.7276	105.885	72.2893	9.65285	18.2587	127.189	163.39	5.94707	0	276.12	20.9122	34.6014	13.4696	10.3975	7.80972	11.7677	48.0451	175.585
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	2679.58	1345.95	2100.21	2007.18	1568.67	1530.59	3183.48	2311.81	3429.06	2478.33	4672.52	2875.91	3299.52	1516.59	1086.34	2977	2691.17	1906.01	2761.39	2961.16	1746.64	2761.86	1819.2	3524.89	2545.61	2227.35	1146.69	2355.05	4542.7	1285.34	2604.08	2665.81	3448.7	2007.3	2119.83	2265.91
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	1460.19	34.6585	0	0	55.152	488.114	453.816	865.299	4020.85	2735.41	602.45	1543.6	319.942	2181.3	32.3454	3426.72	1969.37	1003.75	753.953	1710.52	1531.49	658.737	187.861	3738.49	2625.11	343.939	51.7981	2824.23	1069.92	939.171	637.199	387.449	647.224	1402.54	291.296	3275.3
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	5811.82	3081.7	6225.95	5699.69	3891.78	2842	8030.27	4309.47	4593.67	4968.38	6236.9	4668.33	7865.3	3488.48	2062.54	5702.75	4783.65	3277.45	4473.47	4180.44	3652.99	3998.64	4347.91	4940.82	5126.83	3185.09	2107	4492.15	6366.6	3774.14	3251.26	6722.13	4719	4659.04	4807.69	4252.02
GLYOXYLATE-BYPASS: glyoxylate cycle	565.565	8.77858	7.23497	25.2474	53.9645	293.118	238.464	380.385	2732.75	1304.81	185.021	611.291	94.5478	1213.45	8.88792	2070.68	799.703	552.231	249.421	726.559	811.953	229.651	74.4638	2338.27	1458.16	115.78	15.5001	1580.29	357.239	372.629	201.213	157.091	195.376	647.619	129.741	1977.94
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	255.153	268.146	110.055	158.201	37.9821	91.0462	115.31	121.91	971.707	185.141	190.17	188.83	186.611	1137.5	421.054	52.3313	746.646	142.365	606.766	130.289	213.277	592.425	93.6785	80.0767	217.874	445.59	568.4	1646.84	206.27	211.24	501.889	377	374.812	711.545	527.753	2856.19
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	237.501	0	8.11894	0	0	52.7717	19.773	134.484	1549.37	747.7	65.4543	408.986	62.6553	450.901	0	739.436	238.157	101.025	136.059	463.07	256.473	86.6131	8.50481	1228.8	668.215	23.6183	0	618.159	166.954	187.977	108.435	20.1114	35.1789	139.605	12.2639	1117.76
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	407.721	108.356	171.198	115.134	77.1802	183.609	247.379	667.117	2218.47	791.423	331.981	545.429	342.653	617.823	227.242	1111.42	686.284	311.158	345.648	572.238	600.183	235.738	365.649	1673.09	1696.12	396.513	203.899	871.127	472.025	286.25	198.733	229.544	139.997	480.717	179.895	1579.38
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	428.471	134.976	510.299	543.37	259.847	523.337	254.45	554.846	1864.33	696.227	294.491	315.36	302.173	585.845	279.413	801.398	471.514	356.141	436.224	658.823	641.756	354.619	483.108	1229.37	1374.92	509.756	255.354	821.733	441.743	300.943	221.901	227.02	260.016	578.034	248.906	1650.8
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	2526.49	1304.27	1516.08	1787.62	880.871	1348.61	675.62	2024.94	4109.27	3157.12	2139.42	1766.21	1193.14	2026.6	337.706	3093.97	3024.3	1722.64	1865.94	2808.9	2137.13	1958.5	822.269	4213.3	2133.41	1457.34	558.794	2957.58	2445.99	1593.12	2575.22	1387.06	1379.47	2216.51	2299.19	3219.38
HISDEG-PWY: L-histidine degradation I	6353.52	4026.37	7063.82	6116.2	6818.72	2830.8	8329.05	6638.32	1992.54	4440.9	8186.81	7574.5	8020.35	1560.85	7791.22	3047.1	4719.49	8166.36	4881.37	3933.94	6618.04	3983.02	8393.09	1867.26	4433.09	6323.69	5160.76	1816.37	7317.74	5125.8	4574.58	4842.35	3950.68	3597.54	3928.21	1584.78
HISTSYN-PWY: L-histidine biosynthesis	8431.02	10612.9	9071.23	9909.46	9834.32	12265.1	10247.7	8836.06	3025.15	6018.47	9085.23	7726.02	8247.51	9856.51	10084.6	7020.59	6761.84	10947.6	8873.57	7012.95	8227.58	8854.22	10299.7	4587.09	6178.52	8939.16	10770.7	6280.08	8267	7590.82	8172.57	8164.77	8847.58	6975.7	9638.1	4871.81
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	514.777	628.599	554.326	454.492	296.149	757.661	566.835	465.296	3024.87	1320.77	892.84	1021.53	1060.5	1566.13	73.0198	1870.26	1343.63	469.557	498.657	1315.16	1062.2	691.051	612.775	2533.97	2151.27	619.651	273.421	2538.91	1124.52	2002.96	1018.72	862.956	595.485	1457.13	475.749	2250.52
HSERMETANA-PWY: L-methionine biosynthesis III	2382.49	3152.41	2606.42	3142.47	2869.29	2206.35	3567.28	4062.34	2021.78	2908.07	5026.83	3526.41	8638.5	8728.22	3995.66	5365.22	3704.09	4095.44	3789.53	2447.45	2130.79	4470.61	2114.1	4011.63	4135.69	2912.95	4226.85	5836.36	4501.38	6293.37	5493.04	7064.26	4172	3986.94	4694.24	4761.18
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	10898.3	12566.2	11068.3	11828.9	10900.9	14778.7	11493.7	11825.1	7222.4	8021.18	10438.2	10261.1	11157.3	12927.3	15481.4	10035.8	8792.86	11845	10685	10552.7	10814.7	11442.3	10697.9	8139.84	8489.7	10986.5	16168.5	9691.78	10008	9248.1	11452.7	10092.8	12115.5	10384.8	12270.9	7473.25
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	50.5875	0	0	0	0	22.0863	13.7113	64.2804	958.762	506.942	21.8423	304.245	45.1214	462.678	0	397.649	271.344	49.0711	118.897	276.011	133.785	95.0909	4.78462	557.902	232.796	31.6014	0	558.454	73.6823	100.043	60.7618	9.11108	135.878	377.052	26.3532	332.754
KETOGLUCONMET-PWY: ketogluconate metabolism	660.959	0	0	0	8.51355	31.5753	26.0988	467.316	2792.35	1499.86	83.9954	239.716	55.8966	397.267	0	742.434	365.919	110.414	33.6492	535.669	1043.8	20.7447	23.6075	1378.29	242.88	87.7952	0	716.555	275.441	234.88	51.011	68.0882	51.92	331.731	103.972	393.992
