Row.names	des	I2	Q_test	model_p	Coefficient	C.lower	C.upper	fdr
PWY-6113	superpathway_of_mycolate_biosynthesis	52.049353	0.039184715	0.000768997	-0.312574973	-0.494705412	-0.130444534	0.005204838
PWY-7332	superpathway_of_UDP-N-acetylglucosamine-derived_O-antigen_building_blocks_biosynthesis	65.61872588	0.003231109	0.004373543	-0.312354184	-0.527171118	-0.097537249	0.016282582
GLYCOGENSYNTH-PWY	glycogen_biosynthesis_I_(from_ADP-D-Glucose)	61.22103307	0.007406767	0.00248048	0.312254378	0.10998555	0.514523207	0.011022132
PWY-5863	superpathway_of_phylloquinol_biosynthesis	63.61358308	0.009201979	0.003412938	-0.312245651	-0.521268056	-0.103223245	0.013726486
PWY-6317	galactose_degradation_I_(Leloir_pathway)	63.97737704	0.005955022	0.003544497	0.312204073	0.102365209	0.522042937	0.014152304
PWY66-391	fatty_acid_&beta;-oxidation_VI_(peroxisome)	41.94752475	0.064259621	0.000230628	-0.309853194	-0.47475231	-0.144954079	0.002353257
GLYOXYLATE-BYPASS	glyoxylate_cycle	60.0281977	0.012941886	0.002322344	-0.30984384	-0.509242111	-0.110445568	0.010480165
PWY0-162	superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis	75.54470312	0.00212861	0.016960227	-0.309156744	-0.562944647	-0.055368841	0.043465512
PWY0-1415	superpathway_of_heme_biosynthesis_from_uroporphyrinogen-III	60.87540083	0.008463063	0.002645816	-0.309119147	-0.510660359	-0.107577934	0.011570194
TCA-GLYOX-BYPASS	superpathway_of_glyoxylate_bypass_and_TCA	61.60638554	0.010042554	0.003006934	-0.307938544	-0.511357054	-0.104520034	0.012647485
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose_biosynthesis	41.34530833	0.094526936	0.0002294	-0.307798914	-0.471544323	-0.144053506	0.002353257
PWY-7184	pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	0	0.50495615	1.90E-07	-0.307447384	-0.423123953	-0.191770815	2.37E-05
PWY-5686	UMP_biosynthesis	68.51589307	0.003604929	0.007322947	0.306848128	0.082590697	0.53110556	0.023875407
PWY-7222	guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	88.09010609	9.14E-07	0.095864921	-0.306461036	-0.667161392	0.054239321	0.183408235
PWY-7220	adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	88.09010609	9.14E-07	0.095864921	-0.306461036	-0.667161392	0.054239321	0.183408235
PWY-5138	"unsaturated,_even_numbered_fatty_acid_&beta;-oxidation"	0	0.466666627	2.15E-07	-0.306086995	-0.421766167	-0.190407823	2.37E-05
PWY-561	superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	63.64033763	0.006760335	0.004137871	-0.305634507	-0.514541896	-0.096727118	0.015833103
PWY-6897	thiamin_salvage_II	84.81500796	2.11E-05	0.061293467	0.305585081	-0.014466513	0.625636675	0.123709525
PWY3O-355	stearate_biosynthesis_III_(fungi)	68.29749752	0.003331527	0.007488578	-0.304865169	-0.528297508	-0.081432831	0.024271803
GLUCARDEG-PWY	D-glucarate_degradation_I	44.68340234	0.065357266	0.00042342	-0.304216597	-0.473364676	-0.135068518	0.003381227
PWY-7219	adenosine_ribonucleotides_de_novo_biosynthesis	77.01268832	0.000640957	0.023185915	0.302845582	0.041403718	0.564287446	0.056779731
PWY0-1296	purine_ribonucleosides_degradation	45.47304372	0.062493914	0.000491305	0.302704501	0.132485606	0.472923395	0.003812803
FASYN-ELONG-PWY	fatty_acid_elongation_--_saturated	33.48446693	0.088185766	0.000116068	-0.301287926	-0.454497475	-0.148078378	0.001603312
PWY-7664	oleate_biosynthesis_IV_(anaerobic)	33.97134987	0.086671013	0.000125684	-0.300995228	-0.454835105	-0.147155351	0.001689074
P105-PWY	TCA_cycle_IV_(2-oxoglutarate_decarboxylase)	60.11175528	0.012184089	0.003146168	-0.300609928	-0.500124985	-0.101094872	0.012936854
PWY-6282	palmitoleate_biosynthesis_I_(from_(5Z)-dodec-5-enoate)	32.49338469	0.090898376	0.00010696	-0.300331723	-0.452268615	-0.148394832	0.001550917
GLUCARGALACTSUPER-PWY	superpathway_of_D-glucarate_and_D-galactarate_degradation	41.69240506	0.072214896	0.000351746	-0.300011751	-0.464542781	-0.135480721	0.003028313
GALACTARDEG-PWY	D-galactarate_degradation_I	41.69240506	0.072214896	0.000351746	-0.300011751	-0.464542781	-0.135480721	0.003028313
GLYCOL-GLYOXDEG-PWY	superpathway_of_glycol_metabolism_and_degradation	69.23224298	0.002674676	0.010122639	-0.297370742	-0.524013035	-0.070728449	0.0298266
PWY-7288	"fatty_acid_&beta;-oxidation_(peroxisome,_yeast)"	18.36567545	0.149632859	1.83E-05	-0.295918149	-0.431295136	-0.160541163	0.000438866
HSERMETANA-PWY	L-methionine_biosynthesis_III	57.03105176	0.02188441	0.002579409	0.295400469	0.103297002	0.487503937	0.011370037
PWY0-862	(5Z)-dodec-5-enoate_biosynthesis	32.18820061	0.090093687	0.000133799	-0.295275126	-0.446800163	-0.143750089	0.00175531
PWYG-321	mycolate_biosynthesis	32.91256325	0.085849166	0.000155144	-0.294204339	-0.446643571	-0.141765107	0.00188562
PWY-6125	superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	14.9403216	0.473569409	1.24E-05	-0.293215067	-0.42471562	-0.161714513	0.000379888
PWY-5103	L-isoleucine_biosynthesis_III	81.91970029	7.24E-05	0.051279015	0.292181499	-0.001622933	0.585985931	0.10743246
PWY-5837	"1,4-dihydroxy-2-naphthoate_biosynthesis_I"	58.5872955	0.018032382	0.003657774	-0.290522789	-0.486449583	-0.094595996	0.014395952
PWY-5791	"1,4-dihydroxy-2-naphthoate_biosynthesis_II_(plants)"	58.5872955	0.018032382	0.003657774	-0.290522789	-0.486449583	-0.094595996	0.014395952
PWY-4981	L-proline_biosynthesis_II_(from_arginine)	77.92612444	0.00055642	0.032899823	-0.290168433	-0.556759489	-0.023577377	0.073690255
PWY-7228	superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	11.50515386	0.614903008	1.03E-05	-0.287584666	-0.415377886	-0.159791445	0.000365002
ORNDEG-PWY	superpathway_of_ornithine_degradation	65.26853805	0.00460727	0.008685218	-0.285846483	-0.499339478	-0.072353487	0.026778046
PWY-7385	"1,3-propanediol_biosynthesis_(engineered)"	40.83319253	0.099175128	0.000600354	-0.285456024	-0.448501628	-0.122410421	0.004531442
COA-PWY	coenzyme_A_biosynthesis_I	65.01092443	0.005853975	0.008653805	0.284943183	0.072224856	0.497661511	0.026778046
PWY-4242	pantothenate_and_coenzyme_A_biosynthesis_III	59.72723644	0.010707547	0.005204921	0.282759944	0.084411546	0.481108341	0.018266952
PWY-6284	superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)	59.01155058	0.01972603	0.005001838	-0.281810117	-0.478587578	-0.085032656	0.017896187
PWY-6803	phosphatidylcholine_acyl_editing	54.348808	0.02770133	0.003057924	-0.281791761	-0.468263357	-0.095320164	0.012668544
PWY-6263	superpathway_of_menaquinol-8_biosynthesis_II	35.63848678	0.106748755	0.000398969	-0.281414865	-0.437189961	-0.125639769	0.003281072
PWY-5747	2-methylcitrate_cycle_II	67.00306717	0.005285803	0.012442167	-0.279167508	-0.49808781	-0.060247206	0.034450423
PWY0-42	2-methylcitrate_cycle_I	65.01104671	0.006882517	0.010307532	-0.278400416	-0.491103293	-0.06569754	0.029986825
PWY-5705	allantoin_degradation_to_glyoxylate_III	55.44739532	0.024330764	0.004056736	-0.276593957	-0.465239665	-0.087948248	0.015741277
DTDPRHAMSYN-PWY	dTDP-L-rhamnose_biosynthesis_I	43.80088204	0.04904377	0.001299142	0.275227747	0.107501356	0.442954139	0.00737966
PWY-7197	pyrimidine_deoxyribonucleotide_phosphorylation	0	0.588244728	3.02E-06	-0.275211976	-0.390735688	-0.159688263	0.000185103
DENOVOPURINE2-PWY	superpathway_of_purine_nucleotides_de_novo_biosynthesis_II	16.39163277	0.325925179	5.03E-05	-0.275185836	-0.408218717	-0.142152955	0.000898598
FASYN-INITIAL-PWY	superpathway_of_fatty_acid_biosynthesis_initiation_(E._coli)	45.8779258	0.0435588	0.001667597	-0.274410518	-0.445487499	-0.103333537	0.008750911
PWY-6630	superpathway_of_L-tyrosine_biosynthesis	43.18068106	0.079366301	0.0013299	-0.27257879	-0.439038745	-0.106118834	0.007477294
PWY-6628	superpathway_of_L-phenylalanine_biosynthesis	25.46866765	0.211429055	0.000202532	-0.271364799	-0.414499485	-0.128230114	0.002275709
PWY-7431	aromatic_biogenic_amine_degradation_(bacteria)	0	0.80888375	0.014114303	0.270234273	0.054433199	0.486035347	0.037936493
RIBOSYN2-PWY	flavin_biosynthesis_I_(bacteria_and_plants)	79.58874798	0.000867063	0.055715011	0.270095325	-0.006593478	0.546784127	0.115409666
KDO-NAGLIPASYN-PWY	superpathway_of_(Kdo)2-lipid_A_biosynthesis	53.60311427	0.031982969	0.004251048	-0.269666639	-0.454540475	-0.084792804	0.016153984
PWY-841	superpathway_of_purine_nucleotides_de_novo_biosynthesis_I	12.27870264	0.556372691	3.95E-05	-0.269568972	-0.398115694	-0.141022249	0.000806936
KETOGLUCONMET-PWY	ketogluconate_metabolism	57.7584852	0.014050678	0.006407369	-0.269530637	-0.463308004	-0.075753271	0.021928324
COA-PWY-1	coenzyme_A_biosynthesis_II_(mammalian)	55.41440844	0.023097896	0.005077588	0.269467718	0.080983114	0.457952321	0.018050006
P441-PWY	superpathway_of_N-acetylneuraminate_degradation	46.97248307	0.046135474	0.002258311	-0.269204467	-0.441973108	-0.096435825	0.010283715
PWY-6313	serotonin_degradation	0	0.813701827	0.01449666	0.269162735	0.053371022	0.484954448	0.038775046
PWY-4702	phytate_degradation_I	58.21631164	0.016010027	0.006781651	-0.268970151	-0.463686719	-0.074253583	0.022646605
GLYCOLYSIS-E-D	superpathway_of_glycolysis_and_Entner-Doudoroff	61.23445078	0.012715998	0.009711181	-0.26666357	-0.468775583	-0.064551557	0.029080764
PWY-6269	adenosylcobalamin_salvage_from_cobinamide_II	0	1	0.370664091	-0.26615453	-0.848857553	0.316548493	0.492134732
PWY-6629	superpathway_of_L-tryptophan_biosynthesis	43.98821063	0.067356588	0.002068279	-0.263628325	-0.431375184	-0.095881466	0.009996682
PWY-7187	pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_II	49.98860936	0.04028054	0.003736594	-0.263342292	-0.441347683	-0.085336902	0.014601866
METHANOGENESIS-PWY	methanogenesis_from_H2_and_CO2	0.027507487	0.204439924	1.32E-05	-0.262165632	-0.380090936	-0.144240327	0.000381873
PWY-5030	L-histidine_degradation_III	51.40277913	0.028809464	0.004549801	-0.261304982	-0.441811039	-0.080798925	0.016711942
PWY-5198	factor_420_biosynthesis	0.008227619	0.256604145	1.47E-05	-0.260612381	-0.378489911	-0.14273485	0.00038553
COBALSYN-PWY	adenosylcobalamin_salvage_from_cobinamide_I	64.84523509	0.005923795	0.016225531	0.260038933	0.048013646	0.472064221	0.042878733
FUC-RHAMCAT-PWY	superpathway_of_fucose_and_rhamnose_degradation	61.25889232	0.016102591	0.011763359	-0.260024732	-0.462329526	-0.057719938	0.032787379
URDEGR-PWY	superpathway_of_allantoin_degradation_in_plants	61.01020765	0.009909164	0.011612119	-0.259445183	-0.460934934	-0.057955433	0.032644274
PWY-5692	allantoin_degradation_to_glyoxylate_II	61.01020765	0.009909164	0.011612119	-0.259445183	-0.460934934	-0.057955433	0.032644274
PWY-6318	"L-phenylalanine_degradation_IV_(mammalian,_via_side_chain)"	0	0.850287269	1.06E-05	-0.259341816	-0.374744594	-0.143939037	0.000365002
PWY-6531	mannitol_cycle	78.25251142	0.000560217	0.058453339	-0.258913982	-0.527088556	0.009260592	0.120183759
PWY0-166	superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)	2.639062463	0.209049267	1.83E-05	-0.258904297	-0.377343361	-0.140465233	0.000438866
PWY-7446	sulfoglycolysis	57.53511474	0.019772083	0.00869922	-0.258585684	-0.451758526	-0.065412843	0.026778046
PWY-5656	mannosylglycerate_biosynthesis_I	59.4832892	0.015094354	0.010375937	-0.258477814	-0.456136347	-0.060819281	0.029986825
PWY-7388	"octanoyl-[acyl-carrier_protein]_biosynthesis_(mitochondria,_yeast)"	50.00819605	0.035336398	0.004497718	-0.258167345	-0.436275349	-0.08005934	0.0166325
PWY-6708	ubiquinol-8_biosynthesis_(prokaryotic)	39.75451002	0.096974802	0.001828366	-0.256616361	-0.41798754	-0.095245181	0.009242473
PWY-5857	ubiquinol-10_biosynthesis_(prokaryotic)	39.75451002	0.096974802	0.001828366	-0.256616361	-0.41798754	-0.095245181	0.009242473
PWY-5856	ubiquinol-9_biosynthesis_(prokaryotic)	39.75451002	0.096974802	0.001828366	-0.256616361	-0.41798754	-0.095245181	0.009242473
PWY-5855	ubiquinol-7_biosynthesis_(prokaryotic)	39.75451002	0.096974802	0.001828366	-0.256616361	-0.41798754	-0.095245181	0.009242473
PWY-7254	TCA_cycle_VII_(acetate-producers)	43.66324447	0.066592053	0.002690046	-0.256079736	-0.423320666	-0.088838805	0.011670987
PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis	41.25391083	0.091576438	0.002205655	-0.255208027	-0.418615769	-0.091800284	0.010283715
UBISYN-PWY	superpathway_of_ubiquinol-8_biosynthesis_(prokaryotic)	41.57847992	0.082474475	0.002339492	-0.254742524	-0.41879986	-0.090685188	0.010480165
PWY-6823	molybdenum_cofactor_biosynthesis	49.0669913	0.045313968	0.004622912	-0.254577862	-0.430753159	-0.078402564	0.016758056
PWY0-1277	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation	68.64033248	0.00274675	0.026092217	-0.254486058	-0.478674896	-0.030297219	0.062507877
P164-PWY	purine_nucleobases_degradation_I_(anaerobic)	66.69412804	0.009234446	0.022760727	-0.253167156	-0.471043937	-0.035290375	0.056238389
PWY-7663	gondoate_biosynthesis_(anaerobic)	56.56768737	0.01600737	0.009378472	-0.253076756	-0.444005422	-0.06214809	0.028237914
ENTBACSYN-PWY	enterobactin_biosynthesis	29.51544311	0.174167306	0.000799561	-0.252917933	-0.40076104	-0.105074825	0.005293695
NAGLIPASYN-PWY	lipid_IVA_biosynthesis	67.92790585	0.003820932	0.027548916	-0.249284852	-0.471002986	-0.027566717	0.064593416
NONMEVIPP-PWY	methylerythritol_phosphate_pathway_I	53.35477668	0.033514021	0.008166274	0.248455017	0.064356191	0.432553844	0.025712097
PWY-5367	petroselinate_biosynthesis	64.81788642	0.007742925	0.021754477	-0.248114174	-0.460041744	-0.036186603	0.054238538
PWY-6690	cinnamate_and_3-hydroxycinnamate_degradation_to_2-oxopent-4-enoate	67.07100869	0.004238934	0.027389053	-0.246313854	-0.465163389	-0.027464318	0.064493026
HCAMHPDEG-PWY	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-oxopent-4-enoate	67.07100869	0.004238934	0.027389053	-0.246313854	-0.465163389	-0.027464318	0.064493026
PWY-5083	NAD/NADH_phosphorylation_and_dephosphorylation	41.65047997	0.073972416	0.003371163	-0.245537378	-0.409689587	-0.081385168	0.013658167
PWY0-41	allantoin_degradation_IV_(anaerobic)	50.00223914	0.044978317	0.007214377	-0.243668866	-0.421421285	-0.065916448	0.02366144
P122-PWY	heterolactic_fermentation	54.20436282	0.02179343	0.010394707	-0.243216392	-0.429250035	-0.05718275	0.029986825
PWY-6749	CMP-legionaminate_biosynthesis_I	33.43256173	0.076300152	0.001897294	-0.242208742	-0.395055652	-0.089361831	0.00950372
ORNARGDEG-PWY	superpathway_of_L-arginine_and_L-ornithine_degradation	66.01941019	0.005358143	0.027899558	-0.241719454	-0.457193291	-0.026245618	0.064863529
ARGDEG-PWY	"superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation"	66.01941019	0.005358143	0.027899558	-0.241719454	-0.457193291	-0.026245618	0.064863529
PWY-7094	fatty_acid_salvage	27.33544463	0.180708972	0.001169845	-0.240462996	-0.385650805	-0.095275187	0.006785103
