ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S11	S12	S13	S14	S15	S16	S17	S18	S19	S21	S22	S23	S24	S25	S26	S27	S28	S29	S31	S32	S33	S34	S35	S36	S37	S38	S39
s__Eggerthella_lenta	0.09423	0.05542	0	0.09008	0.09626	0.34131	0.03502	0.07995	0.00282	0.07063	0.25205	0.0203	0.01974	0	0.00444	0.0019	0.02801	0	0.02768	0	0.32042	0	0	0	0.01816	0.1275	0	0.06308	0.00181	0	0.0164	0	0.11523	0	0.02488	0.07332
s__Enterorhabdus_caecimuris	0	0	0	0	0	0	0	0.00129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101	0	0	0	0	0	0	0	0	0	0.00026	0
s__Gordonibacter_pamelaeae	0.00998	0.01516	0	0.02683	0.00896	0.02863	0.02011	0.12993	0	0.04434	0.02155	0.0022	0.00907	0	0	0	0.00105	0	0.00055	0	0.02765	0	0	0	0.03693	0.00957	0.0061	0.00596	0.01944	0	0	0.00052	0.01518	0.0016	0.01258	0.00507
s__Bacteroides_caccae	3.1631	1.03629	0.01675	0	0	2.63615	0.01566	0.7042	0.31041	3.69676	3.05078	4.68325	2.81743	1.00564	0.52454	4.00543	0.08759	0.02553	0	0	0	9.52732	0.00324	5.04104	1.63046	0	0.73032	1.94343	0.25693	1.96979	5.18582	1.01463	12.45468	0.0256	5.70495	0.00184
s__Bacteroides_cellulosilyticus	1.69192	0.34801	0.00376	0.00578	0	0	0	0.41626	0.00557	0.53364	0	0.00133	0	0	0.05462	0	0.00068	0.00053	1.9707	0	0.9562	0	0	0	0	0	0.03848	0	0.02429	0.02455	0	0.04985	0.00478	0	0	1.68554
s__Bacteroides_clarus	0	0	0	0.34705	0	0	0	0.76202	0.03263	0.04869	0	0	1.51074	0.01778	0.01028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_coprocola	0	1.36045	0.02893	0	0	0	0	6.98596	6.63299	0.01542	19.63885	0	0	8.49851	0.8187	0	0.04764	0.07186	0	0	0	0	0	0	0.38935	0	0	2.39331	0	0.0058	5.02844	0.02472	0	0	0	0
s__Bacteroides_coprophilus	0	0	0	0	0	0	0	0.26125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14325	0	0	0	0
s__Bacteroides_dorei	0.00183	0	0	0.00162	0	2.68128	0.00907	0	0.01542	22.88755	0.00522	0	5.84494	0	0	0	62.95153	0.39852	0	0	0	2.86889	0.16553	0	0	0	0	0	0.00038	1.99951	0	2.92501	0	0.26153	1.48857	0.00305
s__Bacteroides_eggerthii	0	0	0	0	0	0	0	0.78642	0	6.17986	0.6504	0	0.72875	4.59263	0.0038	0	0.00706	0.00288	0	0	0	0.09157	0.15602	0	0.4473	0	0	0	0	0	0	0	0	0.17246	0.09299	0
s__Bacteroides_faecichinchillae	0	0	0	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136	0	0	0	0
s__Bacteroides_faecis	0	0	0	0	0	0	0	0.59663	0.05281	2.73267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_faecis_CAG_32	0	0	0	0	0	0	0	0.41308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_finegoldii	0	0.00447	0	0	0	0	0	0.27152	0	0.52217	0	0	0	0.52069	0	0	0	0	0	0	0	0	0.05996	0.47102	0.02706	0.99889	0	0	0	0.06263	1.21167	0.27034	0	0.03893	0	0
s__Bacteroides_fragilis	0.58575	1.03568	15.27708	4.17166	41.72369	0	0.17065	0	1.79547	0.73216	0	1.30245	0.14717	0.01711	0	4.92512	10.72261	0.45611	20.4612	14.88271	0.13209	0.01402	0.05264	0	0.15958	0.99431	0.99186	0.02184	0.81081	0.27019	20.08847	0.03293	3.43912	0.16042	0.0038	18.77989
s__Bacteroides_galacturonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284	0	0	0	0	0	0	0	0	0	0.00933	0	0	0	0	0	0	0	0	0	0.00367	0	0
s__Bacteroides_intestinalis	0.01857	0	0	0.00458	0.85091	0.71434	0.44885	0	0.07267	0.54111	0.00515	0.76832	0.09139	0.34733	0.05854	0	0.00053	0.00028	0.03403	0	17.40548	0.04236	0.07162	0	6.53891	0	0.49862	0	0.3432	0	0	0	0.02398	0.07107	0.05633	0.03582
s__Bacteroides_massiliensis	0	1.32274	0.02556	0	0	0.01726	0	0.1553	0	0	0	0.0172	1.48331	1.43318	0.07355	0	0.00337	0.01988	0	0	0	0	0	0	0.64143	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_nordii	0	0	0	0	0	0	0.00694	0.00294	0	0	0	0.02095	0.01552	0	0.00099	0	0	0	0.42957	0	0	0	0	0	0.01729	0	0.01293	0	0.0024	0	0.01391	0.00304	0.01724	0	0	0.50249
s__Bacteroides_oleiciplenus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15578	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_ovatus	5.00331	1.83727	0.02737	0.18132	16.39805	1.07365	0.70984	0.79539	0.20839	0.70132	1.00536	1.3678	1.29195	0.15181	0.03912	12.27807	0.0256	0.01261	0	4.33463	0.00525	1.21578	0.17637	6.8216	0.81272	0	0.64835	0.04634	0.51196	5.41432	0.29672	0.09697	5.85184	0.23666	0.98516	0.00113
s__Bacteroides_plebeius	0	5.8844	0.10729	3.93566	0.00434	0	0	3.575	4.06417	0.01556	20.78982	0	15.09657	0	3.01588	0	0.08144	0.12072	0	0	0	6.04575	0	0	0.31176	0.00583	15.30395	0	23.6158	0.0154	23.33541	0.04484	0	0.27242	3.87421	0.12009
s__Bacteroides_salyersiae	0	0.04287	0	0	0	0.55069	0.00129	0.02505	0.03968	1.01847	0	1.62809	0.0037	0.28188	0.14399	0	0.00439	0	0	0	0	0.05072	0	0	0.59845	1.16193	0.28399	0	0.1743	1.01663	0	0	0.7467	0	0.06697	0
s__Bacteroides_sp_OM05_12	0	0	0	0	0	0	0	0	0	0.09873	0	0.24028	0	0.07323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_sp_OM08_11	0	0	0	0	0	0	0	0.0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacteroides_stercorirosoris	0	0	0	0	0	0	0	0	0	0	0	0.02012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05404	0	0.03494	0	0	0	0	0	0	0
s__Bacteroides_stercoris	0	12.17265	5.29574	0	0	3.13468	0.05054	0.50479	0	0	1.23479	0.1274	0.03769	2.26825	0.6501	0	0.07696	16.11775	2.40904	0	0	0.93951	0.01924	11.36414	6.37904	49.21174	2.0701	26.58091	1.61495	26.31533	0.0177	1.61738	9.8474	0.03215	0.84962	2.05575
s__Bacteroides_thetaiotaomicron	0.21778	1.45132	0.70309	0.96108	0.46239	0.28405	0.50629	0	0.06658	0.55562	0.51284	2.75402	0.90695	0.55899	1.25955	0	0.04267	0.09033	17.29969	0.75019	15.6231	0.41551	0.37902	1.45854	1.975	1.54986	0.88205	0.70075	0.64063	1.02884	0.49317	1.48992	2.30365	0.39806	0.3979	19.03565
s__Bacteroides_uniformis	4.96901	8.6229	0.16267	5.05358	1.18297	21.96763	13.29996	16.2909	0.8454	15.39316	6.649	31.0137	20.15427	11.15458	1.16282	41.66056	0.09404	0.12141	13.64103	5.68324	0.03592	3.13291	0.28388	7.06619	7.92551	1.26701	14.28265	7.03997	11.24993	10.74967	1.46595	0.2565	6.86321	0.42866	2.0924	15.45146
s__Bacteroides_vulgatus	58.8922	29.36253	38.38965	29.94727	0.04674	9.15012	21.38215	2.04151	4.24073	13.7628	17.58158	23.47628	0.16326	40.9028	0.84081	17.75043	0.32092	11.14724	27.10397	55.35595	0.22553	7.94102	0.01163	41.16442	13.36117	22.05537	8.19663	34.2787	6.01205	35.56776	5.8918	0.11484	30.74717	0.12084	5.41028	21.92593
s__Bacteroides_xylanisolvens	0.30969	0.00289	5.24681	1.43391	0.01604	0.45369	3.7492	0	0.33388	0.25175	0.13044	3.36797	0.99569	0.56599	2.69773	1.22808	0.04151	0.08343	2.40807	0	21.75523	3.13685	0.05823	0.00136	0.06676	0.37983	0.30961	0.36111	0.19946	0.04993	0.18082	0.6608	0.04193	0.06277	2.42672	3.29205
s__Barnesiella_intestinihominis	0	0.18027	0	0	0	0	0.19447	1.67171	0.0233	0.89548	0.98158	0.29825	1.58015	0.8126	0.51423	0	2.40589	0.01899	0	0	0	0	0	0	1.97816	0	4.59419	0.79969	2.85893	0	0	0	0	0.01309	0	0.00657
s__Coprobacter_fastidiosus	0	0	0	0.08358	0	0	0	0.26667	0	0	0	0	0.51765	0.00557	0.14512	0	0	0	0	0	0	0.64646	0	0	0.05222	0	0	0	0	0	0	0	0	0	0.69167	0
s__Coprobacter_secundus	0	0	0	0	0	0	0	0	0	0.00063	0.01837	0.01627	0	0	0	0	0	0	0	0	0	0.03675	0	0	0	0	0	0	0	0	0	0.00849	0	0	0.08083	0
s__Butyricimonas_synergistica	0.00564	0	0	0	0	0.00271	0.00094	0.18121	0.00249	0.01801	0.02389	0.01923	0.25247	0.00667	0.07016	0	0	0	0	0	0	0.01917	0.04444	0	0.02872	0	0.44761	0	0.39829	0	0	0	0	0.0983	0.06552	0
s__Butyricimonas_virosa	0.32517	0.0106	0	0	0	0.09513	0.00167	0.2957	0	0.00808	0.06576	0.24078	0.4866	0.00147	0.10819	0	0.00683	0	0	0	0	0.00128	0.28289	0	0.40615	0	0.53167	0.97399	0.52605	0.27605	0	1.24561	1.49546	0.66339	0.00762	0
s__Odoribacter_splanchnicus	0	0.15679	0	0.29374	0	0	0.44285	1.77733	0.00669	0.12185	0.44179	1.61317	0.82456	0.46725	0.70164	0	0.02601	0.00837	0	0	0	1.36017	0.32387	0.00731	5.64762	0	2.33491	0.32342	1.459	0.2429	0.00071	2.15871	3.92346	0.81872	1.9865	0.00513
s__Porphyromonas_asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026	0	0.00132	0.42156	0.06153	0.12145	0	0	0.00068	0	0	0	0
s__Porphyromonas_endodontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22396	0	0.00165	0	0	0	0	0	0	0.10494	0	2.75	0.00015	0.00535
s__Porphyromonas_sp_HMSC065F10	0	0	0	0	0	0	0.05367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Porphyromonas_uenonis	0	0	0	0	0	0	0.02599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01125	0.00134	0.00412	0	0	0	0	0	0	0
s__Sanguibacteroides_justesenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01754	0	0	0	0
s__Alloprevotella_tannerae	0	0	0	0	0	0	0	0	0	0	0	0.34125	0	0	0	0	0.00273	0	0	0	0	0	0.0172	0	0.64549	0	0	0	0	0	0	0	0.66438	0.01675	0	0
s__Prevotella_sp_oral_taxon_473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03695	0	0.1277	0	0.05184	0	0	0	0	0	0	0
s__Paraprevotella_clara	0	0	0	0	0	2.91962	0.00353	0	0	0	0.01156	0.06793	0	0.02358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104	0	0	0	0
s__Paraprevotella_xylaniphila	0	0	0	0.67549	0	4.21381	0.0072	1.45695	0	0	0.15628	1.70882	0.00199	0.3463	0.82007	0	0.01592	0.01288	0	0	0	0.38691	1.22195	0	0	0	0	0	0	0	0	0.21798	0	0.8199	0.23395	0
s__Prevotella_bivia	0	0	0	0	0	0	0.00154	0	0	0	0	0	0	0	0	0.00684	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02056	0.04714	0	0	0	0	0
s__Prevotella_buccalis	0	0	0	0	0.00058	0	0.00075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Prevotella_copri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.62717	0	0.80023	1.36241	0	0	0.0035	17.23208	33.26035	4.24432	0.37413	0	0	0	0	0	0	7.77415	0	37.45772	6.46652	0.12769
s__Prevotella_corporis	0	0	0	0	0.00706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Prevotella_disiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00266	0	0	0	0
s__Prevotella_intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46126	6.98765	0	0	0	0	0	0	0.84281	0	0.16847	0.03691	5.17917	0.26896	0.01016
s__Prevotella_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3363	0	0	0	0	0	0	0	0	0	0	0.30357	0	0
s__Prevotella_sp_885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.34157	0	0	0	0	0	0	0	0	0	0	13.2015	0.01289	0.02433
s__Prevotella_sp_AM42_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5855	0	0	0	0	0	0	0	0	0	0	3.53363	0	0.00795
s__Prevotella_sp_CAG_1185	0	0	0	0.00018	0	0	0	0.01515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Prevotella_sp_CAG_279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08506	0	0.41954	0	0	0	0	0	0	2.49267	0	1.84283	0	0.00195
s__Prevotella_sp_CAG_520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.69507	0	0	0	0	0	0	0	0	17.49649	0.00088	10.98009	0.00329	0.02004
s__Prevotella_sp_CAG_891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4438	0	1.3993	0	0	0	0	0.00974	0	0.00251
s__Prevotella_stercorea	0	0	0	0	0	0	0	2.91851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92013	0	0	0	0	0	0	0	0	0.79996	0	0.62638	0	0.00116
s__Prevotella_timonensis	0	0	0	0	0	0	0.06975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alistipes_finegoldii	0.12964	0.09413	0	0.14487	0	0	2.52074	0.8912	0.03673	0.00266	0.44477	2.23728	4.09315	3.65151	0.47941	0	2.62826	0.02154	0.13593	0	0	0.08838	7e-04	0	4.42189	0.46974	3.36622	1.50148	2.34477	2.00592	0	0.73833	0.2391	0.02201	0.11636	0.13881
s__Alistipes_indistinctus	0	0	0	0.008	0	0.50013	0	0	0	0.0146	0	0.01587	0.04758	0.01357	0.12039	0	0	0	0	0	0	0.01332	0.13133	0	1.06503	0.04006	0.46623	0	0.31402	0.0135	0	0.26928	0.03034	0.20882	0.03988	0
s__Alistipes_inops	0	0	0	1.19979	0	0	0	0	0	0	0	0.04808	0.00192	0	0.00446	0	0.00717	0	0	0	0	0	0	0	0	0	0.05104	0	0.04521	0	0	0	1.70862	0	0	0
s__Alistipes_onderdonkii	0	0	0	0.04007	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alistipes_putredinis	0	0.59728	0.00593	0	0	0	0	4.27138	0	5.13098	7.3818	3.06145	10.37678	1.35018	4.23346	0	0.06674	0.07323	0	0	0	12.24949	0.25621	0	6.32108	0	6.62657	0.04267	4.28696	0	0	0.29847	0.02855	0.3839	19.26276	0.01241
s__Alistipes_shahii	0.36652	0.01356	0	0.19597	0	2.79631	0.00737	4.87711	0	0.13336	0.0241	0.34042	1.97184	0.49552	0.0716	0	0.95014	0.00666	0	0	0	0.30748	0.32426	0	1.18613	0.12737	0.63161	0.34137	0.43746	0.05445	0	0.14022	0.18241	0.39777	0.42312	9e-04
s__Alistipes_timonensis	0	0	0	0	0	1.32551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Parabacteroides_distasonis	0.81972	2.44896	0.03718	5.33148	3.99538	7.36727	0.90016	0.94488	0.67476	6.09299	1.59774	2.0775	2.14062	2.02927	0.63795	6.6028	0.03952	19.61178	5.25144	7.89128	22.79166	1.06195	0.60088	3.28979	3.42397	1.61355	1.33131	0.47109	1.38563	1.7074	3.93424	2.10322	1.98047	0.61592	0.91862	4.46813
s__Parabacteroides_goldsteinii	0	0	0	0.04944	0	0	0	0.00263	0.007	0	0	0	0.09897	0	0	0	0	0	0	0	0	0	0.03683	0	0.58959	0	0.0084	0	0.01582	0	0	0	0.00246	0.04552	0	0
s__Parabacteroides_gordonii	0	0	0	0	0	0.05858	0	0	0	0	0	0	0.0053	0	0.00593	0	0	0	0	0	0	0	0	0	0	0	0.03132	0	0.02187	0	0	0	0	0	0	0
s__Parabacteroides_johnsonii	0	0	0	2.29869	0	0	0	0	0.02222	0.10697	0	0	0	0.00052	0.04779	0	0	0	0	0	0	0	0	0	0	0	1.00384	0	0.83097	0	0	0.00587	0	0.00677	0	5e-04
s__Parabacteroides_merdae	0.47652	2.01121	0.0249	0	0	0	0	1.06456	0	0.55116	0.84238	0.20984	0.59922	0.44647	0.09481	1.45217	0.00172	2.64515	0.15246	0	0	1.98868	1.01428	2.63236	1.14924	1.23627	0	0.61879	0	2.43163	2.57058	0.46292	0.2228	1.10216	1.70125	0.1351
s__Parabacteroides_sp_426_9	0	0	0	0	0.34865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Cloacibacterium_normanense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Bacillus_cereus_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lysinibacillus_fusiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lysinibacillus_sphaericus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Gemella_asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00595	0	0	0	0	0	0	0	0
s__Gemella_morbillorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16177	0	0	0	0	0	0	0.03514	0.00579	0	0.01413	0.19463	0	0
s__Gemella_sanguinis	0	0	0.01124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00283	0	0	0	0	0	0	0	0	0	0	0
s__Paenibacillus_glucanolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Enterococcus_avium	0	0	0.01624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37467	0	0	0	0	0	0	0	0	0	0	0	0	1.86683	0	0	0	0	0
s__Enterococcus_casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04047	0	0	0	0	0
s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	0.01309	0	0	0	0	0	0	0	0	0.32622	0	0	0	0	0	0	0.03646	0	0	0	0	0	0.09513	0	0	0	0.00692	0
s__Enterococcus_faecium	0	0.28848	0.02945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01769	0	0.10122	0	0.01783	0	0	0	0	0	0.00037	0	0.00926	0	0	0	0	0.04227	0
s__Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02079	0	0	0	0	0
s__Enterococcus_mundtii	0	0.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Melissococcus_sp_OM08_11BH	0	0	0	0	0	0	0	0	0	0	0.00215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lactobacillus_mucosae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03048	0	0	0	0	0	0	0	0
s__Lactobacillus_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lactobacillus_plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lactobacillus_rogosae	0.00318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221	0	0	0	0	0	0	0	0	0.00082	0	0
s__Lactobacillus_salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00093	0	0	0	0	0	0
s__Streptococcus_anginosus_group	0	0	0	0	0.00518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15312	0.01395	0	0.02926	0	0	0
s__Streptococcus_australis	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptococcus_cristatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098	0	0	0
s__Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00391	0	0	0	0	0	0	0	0	0	0	0
